"","date","P.B.ratio","Free.cash.flow.per.share","Current.ratio","Net.margin","ROA","Asset.turnover","EPS","PE","Assets.Q","Current.Assets.Q","Liabilities.Q","Current.Liabilities.Q","Book.value.Q","Revenue.Q","Earnings.Q","Cash.from.operating.activities.Q","Cash.from.investing.activities.Q","Cash.from.financing.activities.Q","Cash.at.end.of.period.Q","Capital.expenditures.Q","EPS.Q","relativeReturn","Y"
"8",Mar 1996,1.28,-0.11,1.8817,-33.8673,-0.1414,0.4175,-0.2136,-4.8689,-20.1282,-22.9508,-15.4562,-15.9704,-26.4137,-30.5909,972.4638,-294.6524,-214.966,-560.7143,-39.3204,-70.9677,973.3668,-30.3973,-18.5156
"9",Jun 1996,1.46,0.08,2.3126,-1.4686,-0.006,0.4077,-0.0092,-93.4783,2.1207,4.1384,4.6256,-15.2662,-1.751,-0.2746,-95.6757,-179.3956,-49.1124,-475.1938,171.8,66.6667,-95.6929,-18.5156,-19.1403
"10",Sep 1996,1.26,0.11,2.2541,1.0771,0.0047,0.4327,0.0072,101.3889,0.3555,1.3696,-0.5714,3.9979,1.8812,6.5168,-178.125,40.8304,-363.9535,-97.314,14.2016,-20,-178.2609,-19.1403,10.9239
"11",Dec 1996,1.49,0.02,2.1619,-5.6364,-0.0228,0.4038,-0.0344,-25.5814,-1.7151,-2.1262,0.726,2.0469,-5.6365,-8.2723,-580,-76.9042,107.0485,-115.3846,-24.3557,66.6667,-577.7778,10.9239,-23.6877
"12",Mar 1997,1.23,0.02,1.811,-44.2224,-0.1578,0.3568,-0.2001,-3.4483,-14.89,-17.5832,-2.5526,-1.6145,-36.0453,-24.8004,490,6.383,-108.7234,2000,8.4327,-20,481.686,-23.6877,-28.1405
"13",Jun 1997,1.74,-0.06,1.8288,-3.2239,-0.0129,0.4001,-0.0157,-38.8535,-3.2538,-4.0912,-3.0817,-5.0224,-3.7037,8.4947,-92.0904,-304,-217.0732,-92.8571,-20.0314,-62.5,-92.1539,-28.1405,21.0387
"14",Sep 1997,2.24,0.05,1.8834,-9.9752,-0.038,0.3813,-0.0449,-16.9265,-2.4879,-1.9754,-3.5612,-4.8168,0.3344,-7.0812,187.5,-197.0588,16.6667,-2433.3333,20.8251,83.3333,185.9873,21.0387,-11.3764
"15",Dec 1997,2.03,0.04,2.021,2.9785,0.0114,0.3825,0.0126,53.1746,-2.5278,-1.4895,-4.9786,-8.1958,3.6667,-2.2305,-129.1925,-27.7778,223.2143,-98.5714,-3.0081,-36.3636,-128.0624,-11.3764,-2.3179
"16",Mar 1998,2.21,0.04,2.3215,3.9146,0.0139,0.3545,0.0148,49.3243,-3.9506,-4.7436,-10.6523,-17.0761,11.5756,-10.9632,17.0213,6.993,-60.221,1000,7.7117,-28.5714,17.4603,-2.3179,35.2566
"17",Jun 1998,2.7,0.04,2.4298,7.204,0.025,0.3469,0.0268,37.3134,1.9682,5.042,-0.7767,0.3613,7.0605,-0.2135,83.6364,1.9608,201.3889,-290.9091,-6.3813,240,81.0811,35.2566,40.3927
"18",Sep 1998,3.28,0.08,2.4329,6.8123,0.0247,0.3628,0.028,45.7143,6.1371,9.5704,3.6008,9.4312,10.498,10.9843,4.9505,107.0513,-66.3594,-233.3333,23.1089,0,4.4776,40.3927,-19.4147
