"","date","P.B.ratio","Free.cash.flow.per.share","Current.ratio","Net.margin","ROA","Asset.turnover","EPS","PE","Assets.Q","Current.Assets.Q","Liabilities.Q","Current.Liabilities.Q","Book.value.Q","Revenue.Q","Earnings.Q","Cash.from.operating.activities.Q","Cash.from.investing.activities.Q","Cash.from.financing.activities.Q","Cash.at.end.of.period.Q","Capital.expenditures.Q","EPS.Q","relativeReturn","Y"
"9",Mar 1996,2.86,0.36,1.8113,2.772,0.0052,0.1893,0.1719,239.267,2.6066,6.2756,2.9016,4.2751,2.2429,-5.4197,-45.4128,-173.6559,280.315,492.5,17.6139,75.8242,-45.67,6.674,-1.135
"10",Jun 1996,2.82,0.92,1.8795,7.4582,0.0207,0.2771,0.6715,61.2956,-0.1279,-0.0071,-2.0949,-3.6342,2.3123,46.1682,293.2773,105.8394,-149.0683,-41.3502,10.7135,26.875,290.6341,-1.135,2.803
"11",Sep 1996,2.96,0.4,1.8855,4.5349,0.0115,0.2546,0.3637,120.8963,-2.8395,-2.1422,-1.318,-2.456,-4.6455,-10.741,-45.7265,-45.3901,-161.6034,510.7914,-4.9619,-11.33,-45.8377,2.803,2.8163
"12",Dec 1996,3.5,0.4,1.745,3.9005,0.0093,0.2389,0.3523,140.3349,23.8706,10.0409,34.4958,18.9048,10.8174,16.265,0,9.0909,-163.0137,-23.086,-5.221,21.6667,-3.1345,2.8163,5.6702
"13",Mar 1997,3.51,0.38,1.6161,5.1517,0.0133,0.2587,0.523,101.8738,3.8086,4.5889,4.8428,12.9252,2.2667,12.3771,48.4252,12.6984,182.6087,-78.4074,3.8171,33.79,48.453,5.6702,-18.0103
"14",Jun 1997,3.38,0.93,1.6324,3.5957,0.0116,0.3219,0.3336,157.3741,2.0112,4.5841,1.8418,3.5454,2.2701,26.9336,-11.4058,109.1549,-22.3077,-18.4397,19.1766,-13.6519,-36.2141,-18.0103,2.9437
"15",Sep 1997,4.89,-1.03,1.4746,-2.2386,-0.0099,0.4436,-0.3912,-142.9192,36.4263,28.2328,46.4232,41.9495,21.2095,88.0289,-217.0659,-147.9798,256.9307,244.3478,-10.9551,81.8182,-217.2662,2.9437,-11.6609
"16",Dec 1997,3.54,0.54,1.3612,-4.2466,-0.0131,0.3084,-0.5116,-96.0321,-3.4287,-8.9306,-1.6978,-1.3385,-6.6114,-32.8581,27.3657,-260.3509,47.9889,-37.6263,-8.2988,-16.3043,30.7771,-11.6609,-11.9855
"17",Mar 1998,3.66,-0.1,1.3722,0.3864,0.0013,0.3385,0.0495,985.4545,0.5523,-0.3997,0.5425,-1.2012,0.5713,10.3522,-110.0402,-57.5492,-46.9541,-39.2713,-7.4208,27.2727,-109.6755,-11.9855,-0.8892
"18",Jun 1998,3.82,-0.65,1.3684,1.927,0.0068,0.3529,0.2553,192.6753,-0.7637,-1.8816,-0.8728,-1.6092,-0.5527,3.4619,416,-180.4124,-37.6325,82,-22.9228,-29.3878,415.7576,-0.8892,-5.7614
"19",Sep 1998,3.14,-0.28,1.3455,2.7286,0.0092,0.338,0.3473,115.9228,-0.8408,-2.7888,-1.3447,-1.134,0.1312,-5.019,34.4961,-130.4487,-18.1303,92.3077,-22.7964,8.9595,36.036,-5.7614,-25.7892
"20",Dec 1998,2.83,1.95,1.22,2.7182,0.0127,0.4665,0.4958,74.1226,-2.5277,-10.5191,-1.1967,-1.3161,-5.057,34.5207,34.0058,2211.5789,459.8616,58.0952,-10.3491,-1.5915,42.7584,-25.7892,-10.9947
"21",Mar 1999,2.68,0.47,1.24,3.2588,0.0124,0.3818,0.4815,72.9595,2.7923,5.5267,2.4347,3.8221,3.4995,-15.8707,0.8602,-64.4353,-77.9975,-74.6988,9.8488,-13.7466,-2.8842,-10.9947,0.8751
"22",Jun 1999,3.03,1.18,1.2101,4.6326,0.0184,0.3976,0.7299,54.3773,0.9683,0.9433,1.7476,3.4446,-0.557,5.1417,49.467,89.8848,-4.2135,263.3333,15.8048,10.625,51.5888,0.8751,18.602
