"","date","P.B.ratio","Free.cash.flow.per.share","Current.ratio","Net.margin","ROA","Asset.turnover","EPS","PE","Assets.Q","Current.Assets.Q","Liabilities.Q","Current.Liabilities.Q","Book.value.Q","Revenue.Q","Earnings.Q","Cash.from.operating.activities.Q","Cash.from.investing.activities.Q","Cash.from.financing.activities.Q","Cash.at.end.of.period.Q","Capital.expenditures.Q","EPS.Q","relativeReturn","Y"
"9",Mar 1996,3.66,0.19,1.2695,7.7003,0.017,0.2208,0.3817,41.8653,3.4581,4.5508,2.4476,4.1164,7.4675,-8.7586,-1.3333,-63.8211,-19.2308,-110.7317,-5.1724,-60.8108,-1.2675,3.1128,3.4855
"10",Jun 1996,3.56,0.51,1.2092,8.9474,0.0206,0.2307,0.4849,34.502,4.0776,4.3277,4.1101,9.5268,3.955,8.7409,26.3514,110.4869,120.7283,284.8485,4.6281,42.2414,27.0369,3.4855,-0.4376
"11",Sep 1996,3.53,0.34,1.3177,7.6866,0.0167,0.2169,0.4048,42.8113,2.6266,8.7879,1.9669,-0.174,5.1255,-3.5167,-17.1123,-18.3274,-15.8629,31.1024,19.9052,19.3939,-16.5189,-0.4376,-1.9494
"12",Dec 1996,3.59,0.26,1.2524,8.533,0.0203,0.2384,0.5004,37.2902,0.699,-3.207,-0.0479,1.8443,3.4431,10.7116,22.9032,7.6253,-13.1222,-166.0661,-35.8366,48.731,23.6166,-1.9494,2.6192
"13",Mar 1997,3.61,0.25,1.4436,9.2445,0.0204,0.2209,0.5214,37.476,3.0115,3.3701,2.1489,-10.3237,6.0739,-4.5465,3.4121,-31.1741,-13.1944,-196.8182,6.3655,-47.7816,4.1966,2.6192,2.2357
"14",Jun 1997,4.02,0.46,1.5111,8.9322,0.0215,0.2411,0.5778,40.1696,4.6911,8.1507,5.0583,3.3233,3.4356,14.2656,10.4061,47.9412,88.2,119.2488,7.529,1.9608,10.817,2.2357,18.9819
"15",Sep 1997,4.74,0.66,1.5595,8.3696,0.0185,0.2216,0.5171,54.999,2.7776,3.8395,2.4935,0.6156,3.7644,-5.5441,-11.4943,62.8231,-22.848,-69.8073,41.2926,108.9744,-10.5054,18.9819,-7.305
"16",Dec 1997,4.17,0.14,1.5385,8.6848,0.0217,0.2502,0.6147,42.6712,-0.0096,-3.7466,0.0311,-2.4319,-0.1494,12.8913,17.1429,-47.0085,-48.4848,-489.3617,-62.8971,2.1472,18.8745,-7.305,-12.3787
"17",Mar 1998,4.07,-0.09,1.4624,8.9695,0.0182,0.2033,0.5865,44.2285,13.5913,10.8213,15.4942,16.5857,7.0528,-7.6834,-4.6563,-75.1152,371.9251,-405.1002,4.7945,-48.048,-4.5876,-12.3787,6.019
"18",Jun 1998,4.09,0.03,1.5218,7.9586,0.0178,0.2232,0.6114,45.7148,6.4851,7.4476,7.5668,3.254,2.4755,16.8961,3.7209,146.2963,11.4448,-2.4478,-27.7778,39.3064,4.2455,6.019,-2.3121
"19",Sep 1998,3.39,1,1.5916,6.4953,0.0134,0.2058,0.4684,50.8967,0.1115,0.8557,-0.0451,-3.5682,0.7208,-7.6909,-24.6637,264.6617,-76.2583,-130.2938,6.3348,6.2241,-23.3889,-2.3121,-19.2102
"20",Dec 1998,3.24,-0.03,1.4423,5.5679,0.012,0.2151,0.4213,55.3762,-0.0239,-2.7745,0.1653,7.2924,-0.7544,4.5042,-10.4167,-55.2577,-18.4154,-110.101,53.1915,78.9062,-10.0555,-19.2102,-4.872
"21",Mar 1999,3.31,-0.31,1.5319,4.212,0.008,0.1892,0.2881,82.3672,2.352,3.8747,2.0453,-2.2026,3.5471,-9.9704,-31.8937,-114.0553,-17.3228,474,-32.2222,-64.6288,-31.6164,-4.872,6.6895
"22",Jun 1999,3.77,0.68,1.4929,5.5479,0.0106,0.1907,0.398,70.8291,4.0282,2.932,5.4053,5.6242,-1.2611,4.8079,38.0488,-1214.7541,380.3175,220.9059,33.1967,22.2222,38.1465,6.6895,9.0412
"23",Sep 1999,3.94,1.27,1.5759,4.6448,0.0083,0.1782,0.3088,94.2681,-1.1063,-2.2445,-2.0828,-7.3961,2.8974,-7.5671,-22.6148,65.7353,-68.0767,-177.3073,-12.9231,15.1515,-22.4121,9.0412,-23.556
"24",Dec 1999,3.35,0.49,1.4348,4.7619,0.009,0.1884,0.3378,75.5477,0.6652,-2.0289,0.5175,7.6053,1.2412,6.4475,9.1324,-26.8855,46.7909,-123.1742,93.6396,109.2105,9.3912,-23.556,-8.1631
"25",Mar 2000,2.87,-0.38,1.4666,5.245,0.0096,0.1824,0.3701,59.8757,1.2315,2.0112,1.4029,-0.1956,0.5672,-1.9924,7.9498,-111.5291,-114.5275,-174.5455,-20.438,-64.5702,9.5619,-8.1631,-6.8511
"26",Jun 2000,2.5,1.44,1.4547,5.8736,0.0113,0.1923,0.4556,43.1958,3.4158,3.2414,4.4673,4.0799,-0.6914,9.0262,22.093,-1448.4211,-1912.6214,-618.6992,7.5688,69.8225,23.1019,-6.8511,-10.3274
"27",Sep 2000,2.29,0.3,1.5345,4.5198,0.0078,0.1717,0.3142,57.3838,-0.1578,0.6635,-0.5841,-4.5674,1.594,-10.8894,-31.4286,-64.3247,-76.9148,-112.8527,-15.1386,-12.5436,-31.036,-10.3274,6.2006
"28",Dec 2000,2.4,0,1.4614,5.1623,0.0093,0.1797,0.3844,50.4162,2.2414,0.6511,2.5521,5.6864,0.9919,7.0098,22.2222,-8.9716,29.4664,-234.1463,-16.0804,66.5339,22.3425,6.2006,23.7531
"29",Mar 2001,2.74,0.11,1.4075,3.368,0.0055,0.1646,0.236,94.7034,2.6736,3.8256,3.0003,7.7965,1.3393,-5.9445,-38.6364,-24.0385,123.6559,703.6364,-26.0479,-42.1053,-38.6056,23.7531,3.6649
"30",Jun 2001,2.97,0.12,1.4271,4.938,0.009,0.1813,0.3946,62.2909,3.5997,5.7231,4.535,4.2767,-0.2819,14.0956,67.284,47.7848,-15.0641,-26.6968,10.1215,57.8512,67.2034,3.6649,13.4785
"31",Sep 2001,2.92,0.46,1.4384,4.0546,0.0069,0.1691,0.2986,80.4421,-1.2353,-2.2483,-2.4047,-3.0215,3.8523,-7.8717,-24.3542,54.1756,-103.9623,-234.7222,-14.7059,6.2827,-24.3284,13.4785,-12.7697
"32",Dec 2001,2.82,1.46,1.304,3.2771,0.0054,0.1662,0.2432,99.2599,2.5215,-0.2605,4.2454,10.0214,-4.5261,0.7911,-18.5366,-32.7778,-1673.8095,-141.1226,72.4138,-227.5862,-18.5532,-12.7697,6.7479
