"","date","P.B.ratio","Free.cash.flow.per.share","Current.ratio","Net.margin","ROA","Asset.turnover","EPS","PE","Assets.Q","Current.Assets.Q","Liabilities.Q","Current.Liabilities.Q","Book.value.Q","Revenue.Q","Earnings.Q","Cash.from.operating.activities.Q","Cash.from.investing.activities.Q","Cash.from.financing.activities.Q","Cash.at.end.of.period.Q","Capital.expenditures.Q","EPS.Q","relativeReturn","Y"
"5",Jan 1996,12.88,0.01,2.6008,23.7573,0.083,0.3493,0.0386,110.1036,10.1448,3.5186,7.7181,7.7181,11.1023,16.3757,16.3604,-57.8611,-76.6557,-563.3803,-33.9733,13.5417,13.8643,4.93,18.4261
"6",Apr 1996,14.36,0.04,2.4932,23.3143,0.0794,0.3404,0.0447,115.66,22.3138,22.6473,27.94,27.94,21.2058,19.1894,17.0148,192.9221,282.6019,-119.4529,52.3425,59.4037,15.8031,18.4261,14.4544
"7",Jul 1996,13.67,0.05,2.8071,20.2357,0.0877,0.4336,0.0542,108.4871,25.4518,31.8276,17.0902,17.0902,28.4322,59.801,38.6591,51.7087,95.2478,153.6458,48.3033,88.9209,21.2528,14.4544,1.4923
"8",Oct 1996,13.54,0.07,2.1383,12.6107,0.0421,0.3335,0.0306,212.4183,18.5169,16.4475,52.8464,52.8464,9.4198,-8.8553,-43.2025,20.2958,-37.9354,-15.1951,97.9979,-32.9018,-43.5424,1.4923,0.2326
"9",Jan 1997,14.15,-0.01,2.7634,21.255,0.0741,0.3484,0.0567,129.806,6.2198,4.1435,-19.4048,-19.4048,16.0735,10.9841,87.12,-94.5905,3.6849,38.2567,-39.9061,-7.7185,85.2941,0.2326,-15.2396
"10",Apr 1997,10.75,0.05,2.8371,22.9582,0.0747,0.3254,0.0628,102.707,10.8162,12.1611,9.2425,9.2425,11.3541,3.4853,11.7578,1300.6993,41.7998,-17.6883,3.8161,24.1082,10.7584,-15.2396,-8.0126
"11",Jul 1997,10.68,0.07,2.7687,8.5523,0.0277,0.3238,0.025,282,7.6555,5.5762,8.1804,8.1804,7.5708,7.1121,-60.0846,20.8937,-15.7048,-511.7021,-21.9682,-40.4361,-60.1911,-8.0126,30.9105
"12",Oct 1997,12.06,0.11,2.7099,18.0089,0.0545,0.3026,0.0553,154.792,13.2649,16.1739,18.6948,18.6948,11.9778,5.8694,122.8477,45.86,88.9525,-149.0439,40.2819,5.3245,121.2,30.9105,-0.282299999999999
"13",Jan 1998,11.48,0.06,2.6344,22.6791,0.067,0.2955,0.0745,121.745,10.4839,-1.2934,1.5344,1.5344,13.0533,7.8985,35.899,-34.7537,-33.2612,5.4795,26.0973,21.8009,34.7197,-0.282299999999999,5.324
"14",Apr 1998,12.36,0.11,2.6784,2.9572,0.0082,0.2765,0.0104,1046.1538,15.7638,16.4862,14.5789,14.5789,16.1701,8.3073,-85.8736,77.2619,-42.202,43.6563,145.4603,83.7873,-86.0403,5.324,34.9832
