"","date","P.B.ratio","Free.cash.flow.per.share","Current.ratio","Net.margin","ROA","Asset.turnover","EPS","PE","Assets.Q","Current.Assets.Q","Liabilities.Q","Current.Liabilities.Q","Book.value.Q","Revenue.Q","Earnings.Q","Cash.from.operating.activities.Q","Cash.from.investing.activities.Q","Cash.from.financing.activities.Q","Cash.at.end.of.period.Q","Capital.expenditures.Q","EPS.Q","relativeReturn","Y"
"9",Mar 1996,2.5,0.34,0.849,5.9598,0.0179,0.3007,0.4719,58.2115,0.1136,0.6737,-1.4118,-1.2282,2.2362,12.8754,-247.3684,-17.9315,-89.0539,166.6667,57.81,-40.4178,-247.3766,1.0033,4.9443
"10",Jun 1996,2.59,0.6,0.9051,7.9294,0.0252,0.3173,0.6679,43.6592,0.8409,4.7727,-1.1832,-1.7258,3.5568,6.3951,41.5584,50.8613,414.2857,45.1667,7.3469,33.689,41.5342,4.9443,-1.7606
"11",Sep 1996,2.56,0.14,0.8925,5.9281,0.0187,0.315,0.502,59.4024,1.2147,-0.5905,0.6321,0.8181,1.9608,0.4729,-24.8853,-38.7019,-9.0278,-62.6866,3.7072,-5.2452,-24.839,-1.7606,-1.844
"12",Dec 1996,2.71,0.73,0.8917,4.0309,0.0133,0.3303,0.3551,90.5097,-0.6414,-3.7217,-1.7975,-3.6352,0.8196,4.1814,-29.1603,97.0588,65.9542,246.4615,-18.2401,27.5572,-29.2629,-1.844,3.7837
"13",Mar 1997,2.85,0.24,0.9221,7.4912,0.0238,0.3177,0.6358,53.5231,0.1808,-3.0345,-2.3764,-6.2311,3.3284,-3.6313,79.0948,-48.7562,-70.0092,-82.0604,55.2691,-32.8302,79.0482,3.7837,-14.4011
"14",Jun 1997,2.81,0.3,0.8978,8.0105,0.0235,0.2939,0.6285,55.3063,0.1146,-3.584,-1.9335,-0.9818,2.4964,-7.383,-0.9627,30.3883,123.9264,256.4356,-7.5812,33.1461,-1.1482,-14.4011,13.4508
"15",Sep 1997,3.22,0.13,0.9885,7.0391,0.0205,0.2912,0.5535,73.4779,1.4704,-2.4781,0.038,-11.4268,3.0642,0.5256,-11.6646,-12.4348,44.2466,-45.6944,-22.5781,6.4346,-11.9332,13.4508,-0.9604
"16",Dec 1997,3.09,-0.15,1.0086,8.5324,0.0247,0.2891,0.6696,59.8716,0.0056,-3.2454,-2.2641,-5.1741,2.457,-0.7068,20.3576,-12.0748,-56.8851,44.5013,2.4218,21.9029,20.9756,-0.9604,-12.7947
"17",Mar 1998,2.95,-0.31,0.977,6.5334,0.0139,0.2135,0.3822,103.2967,1.0628,0.8279,2.0666,4.0887,0.0286,-25.373,-42.8571,-69.0522,24.4493,-188.1416,24.6305,-40.6504,-42.9211,-12.7947,2.247
"18",Jun 1998,3.07,0.03,0.9417,7.2406,0.0159,0.2203,0.4408,93.1261,0.9093,-2.6189,0.7021,1.0373,1.1272,4.1291,15.4,217.5,62.1239,-136.1446,-6.3241,33.5616,15.3323,2.247,11.0529
"19",Sep 1998,3,0.33,0.8924,6.0042,0.0126,0.21,0.3533,114.6335,1.0891,-0.5815,2.5835,4.9144,-0.4753,-3.6517,-20.104,47.8346,-3.2751,262.2222,-2.7848,10.1538,-19.8503,11.0529,-13.4907
"20",Dec 1998,3.11,-0.16,0.8787,-2.7422,-0.0054,0.1986,-0.1523,-275.4432,-0.082,-7.9251,2.7713,-6.4979,-3.1609,-5.4832,-143.167,-40.5459,68.3973,-103.9877,-50.6076,2.514,-143.1078,-13.4907,-9.1848
"21",Mar 1999,3.13,0,0.8083,4.9185,0.0087,0.1771,0.251,162.7888,3.3552,2.5727,5.4855,11.5127,0.9158,-7.8269,-265.3266,-11.4222,-47.9893,-280.7692,-5.4482,-27.6113,-264.8063,-9.1848,4.9529
"22",Jun 1999,3.65,0.27,0.7657,4.0041,0.0091,0.2276,0.2668,179.2729,1.6841,10.8066,3.3048,16.9691,-0.256,30.6772,6.383,51.5803,-26.4175,776.5957,39.777,5.8971,6.2948,4.9529,3.1851
"23",Sep 1999,3.56,-0.16,0.7454,5.7188,0.0145,0.2535,0.4434,105.0744,4.5597,2.4871,7.4191,5.2851,1.0148,16.4283,66.2857,37.1143,153.4151,-39.5631,-6.516,118.9573,66.1919,3.1851,-14.4645
"24",Dec 1999,3.42,-0.02,0.9334,7.3686,0.0199,0.27,0.6177,72.9804,1.2826,13.1152,0.3766,-9.6738,2.4769,7.8805,39.0034,-48.4793,-80.235,-132.9317,91.3229,-52.5433,39.3099,-14.4645,-3.9367
"25",Mar 2000,3.03,0.32,0.9377,8.9246,0.0253,0.2836,0.8007,51.2676,1.4286,2.6516,1.418,2.1825,1.4423,6.5489,29.0482,53.0106,132.5175,-1063.4146,-11.8959,0.4561,29.626,-3.9367,12.2574
"26",Jun 2000,3.21,1.18,1.0202,8.4603,0.027,0.3188,0.855,51.8129,0.3127,0.5753,-2.6501,-7.5636,4.1377,12.7629,6.8966,89.1204,15.6391,123.4177,-7.0042,2.8377,6.7816,12.2574,-6.458
"27",Sep 2000,2.95,1.32,1.0498,11.269,0.0368,0.3262,1.1927,35.4657,0.6477,1.2258,0.4508,-1.6198,0.8853,2.9945,37.1864,8.6903,-18.7256,1.983,21.7786,7.064,39.4971,-6.458,-2.5162
"28",Dec 2000,2.83,1.05,1.0702,10.9418,0.0362,0.3309,1.1652,35.8565,-0.9173,-5.282,-6.1197,-7.0944,5.3341,0.5005,-2.4167,-15.503,-42.24,-25.6667,41.2817,-7.2165,-2.3057,-2.5162,11.2763
"29",Mar 2001,2.77,0.91,1.0884,13.0102,0.0374,0.2872,1.2471,34.4559,3.7636,12.1515,1.0685,10.2815,6.6499,-9.9312,7.095,11.195,459.0028,-95.2915,22.0992,48.4444,7.0288,11.2763,0.2035
"30",Jun 2001,2.76,1.05,1.0932,10.1799,0.0301,0.2952,1.0304,44.4196,2.8914,4.842,1.2241,4.3838,4.5835,5.757,-17.25,-6.0328,-49.5045,1098.4127,25.054,-25.2994,-17.3763,0.2035,9.814
"31",Sep 2001,2.49,0.85,1.2202,9.8077,0.0262,0.2674,0.909,47.3597,1.0759,2.8995,-1.3971,-7.8107,3.5052,-8.4346,-11.7825,-15.8163,-10.893,-28.0795,18.0311,-11.6232,-11.7818,9.814,-11.2019
"32",Dec 2001,2.45,-0.88,0.8873,-1.1647,-0.0104,0.8899,-0.3767,-116.6445,74.2056,84.4319,102.6108,153.61,46.3939,479.6624,-168.8356,133.4343,516.4097,35.175,-38.0451,636.6213,-141.4411,-11.2019,-5.7272
"33",Mar 2002,2.73,-0.36,0.8383,3.4271,0.0092,0.2689,0.3396,126.914,1.4155,1.0094,2.1392,6.9139,0.4633,-69.3548,-190.1741,-76.7849,-109.8982,-70.9809,66.5092,-71.6023,-190.1513,-5.7272,12.4323
"34",Jun 2002,2.75,0.41,0.8833,1.6066,0.0052,0.3263,0.1905,229.1339,-1.3067,-4.3647,-1.4838,-9.2383,-1.0671,19.7495,-43.8621,142.9637,-401.6245,753.5211,-24.766,-5.9079,-43.9046,12.4323,6.3875
"35",Sep 2002,2.47,0.52,0.9513,-3.5447,-0.0118,0.3336,-0.4232,-91.3043,-1.5391,0.401,1.0026,-6.7758,-4.9208,0.6711,-322.113,18.1051,14.5422,-41.7492,4.3363,13.8825,-322.1522,6.3875,-18.7518
"36",Dec 2002,2.36,0.53,0.8943,3.341,0.0117,0.3498,0.4231,83.2191,1.193,0.0056,3.2238,6.3798,-1.6403,6.0973,-200,3.3452,5.3292,-7.5543,6.8666,3.1361,-199.9764,-18.7518,-2.314
"37",Mar 2003,2.25,0.95,1.0061,6.2005,0.0236,0.3809,0.8986,36.6348,5.097,9.8054,5.9753,-2.3948,3.8018,14.4394,112.3894,4.714,-58.1349,70.8887,28.6439,-36.1942,112.3848,-2.314,-7.3557
"38",Jun 2003,2.27,1.15,1.1114,5.4494,0.0199,0.3643,0.7485,46.2124,-0.8807,-5.9634,-4.1329,-14.8711,3.9796,-5.18,-16.6667,13.2353,55.2133,91.2134,-18.7171,1.5373,-16.7038,-7.3557,1.2868
"39",Sep 2003,2.29,0.64,1.1778,6.3771,0.0243,0.3809,0.9238,39.1318,0.8997,4.3476,-0.8992,-1.538,3.5313,5.4801,23.4375,-29.5521,-48.626,-78.7434,41.7529,-2.4224,23.4202,1.2868,-3.3601
"40",Dec 2003,2.42,0.39,1.2058,5.6951,0.0213,0.3739,0.8109,48.7483,0.1955,1.4254,-1.9363,-0.9225,3.002,-1.6306,-12.1519,-3.988,84.9926,117.2059,-2.6694,32.9713,-12.2213,-3.3601,11.8488
"41",Mar 2004,2.6,0.99,1.28,7.6327,0.0301,0.3944,1.1971,36.6302,4.4642,17.6001,3.9092,10.7752,5.1128,10.1789,47.6657,36.2461,-21.2048,-40.5552,37.3183,-21.0035,47.6261,11.8488,3.5364
"42",Jun 2004,2.59,1.33,1.3714,10.77,0.0466,0.4325,1.9365,23.6148,4.0608,14.0074,1.2697,6.41,7.8296,14.1065,61.007,28.0989,-57.6962,69.0205,42.3523,19.6455,61.7659,3.5364,13.5067
