"","date","P.B.ratio","Free.cash.flow.per.share","Current.ratio","Net.margin","ROA","Asset.turnover","EPS","PE","Assets.Q","Current.Assets.Q","Liabilities.Q","Current.Liabilities.Q","Book.value.Q","Revenue.Q","Earnings.Q","Cash.from.operating.activities.Q","Cash.from.investing.activities.Q","Cash.from.financing.activities.Q","Cash.at.end.of.period.Q","Capital.expenditures.Q","EPS.Q","relativeReturn","Y"
"5",Mar 1996,2.67,0.52,1.6772,9.5544,0.019,0.1988,0.6346,41.5695,6.2802,7.9212,8.3553,21.2462,1.8204,29.841,15.2542,-33.4025,3.8082,-151.5052,24.3043,-15.7191,14.5074,3.9851,5.2364
"6",Jun 1996,2.81,0.77,1.5454,10.5487,0.0223,0.2118,0.742,37.8437,-2.5097,-7.8578,-5.705,0,2.3082,3.894,14.7059,32.243,-26.4946,-260.3558,-27.0898,11.9048,16.924,5.2364,-13.5325
"7",Sep 1996,2.44,1.11,1.6038,9.395,0.0188,0.1998,0.6434,39.4933,2.251,1.9724,2.7033,-1.7376,1.2128,-3.5549,-14.1026,29.5642,-16.0813,-59.8257,5.4023,3.5461,-13.2884,-13.5325,-2.7369
"8",Dec 1996,2.55,0.58,1.6372,8.3418,0.0166,0.1987,0.5703,47.6241,-1.2448,-8.148,-3.5029,-10.0255,2.4868,-1.7829,-12.7932,-26.5455,3.0837,126.43,-29.8304,34.2466,-11.3615,-2.7369,-3.6064
"9",Mar 1997,2.41,0.66,1.6043,9.0545,0.0185,0.2047,0.6458,41.4215,-1.1632,1.119,0.3281,3.1979,-5.9718,1.8152,10.5134,-12.7475,-58.9744,-53.7456,-1.1561,-38.7755,13.2386,-3.6064,-11.6491
"10",Jun 1997,2.62,1.52,1.5458,10.6411,0.0245,0.2301,0.8349,33.6088,-4.3673,-10.6137,-2.9095,-7.2305,0.3343,7.492,26.3274,78.4397,202.0833,158.1921,-36.9484,-7.9167,29.2815,-11.6491,4.2176
"11",Sep 1997,2.76,0.78,1.3936,8.6885,0.0186,0.2135,0.6203,48.7506,-2.4699,-10.5346,1.0878,-0.7655,2.5586,-9.4857,-26.0946,-34.5787,180,-92.1955,-76.6442,31.2217,-25.7037,4.2176,3.7395
"12",Dec 1997,2.76,0.8,1.1771,7.4329,0.0149,0.1998,0.5326,58.6369,5.6936,8.6929,9.2613,28.6816,-0.9096,-1.1118,-15.4028,5.3463,-45.3818,-89.7196,-15.1625,13.7931,-14.1383,3.7395,-10.6967
"13",Mar 1998,2.76,0.7,1.3135,8.7182,0.0179,0.2053,0.6234,50.385,-2.1464,0.5208,-2.764,-9.9183,2.3603,0.5413,17.9272,-10.3806,-139.4589,8890.9091,57.8723,-8.7879,17.0484,-10.6967,1.2311
"14",Jun 1998,2.8,1.1,1.3583,8.7503,0.018,0.2059,0.6321,51.1628,0.2848,0.1727,-0.941,-3.1307,0.3587,0.5798,0.9501,37.1943,-274.8571,-55.2073,0.8086,7.6412,1.3956,1.2311,1.9103
"15",Sep 1998,2.48,-0.35,1.2973,7.2786,0.0134,0.1846,0.4729,61.218,-0.941,-2.3563,0.4948,2.2326,-3.638,-11.1797,-26.1176,-94.9343,-130.8824,-11.2867,-39.5722,-11.4198,-25.1859,1.9103,-10.8533
"16",Dec 1998,2.7,0.78,1.1751,3.2425,0.006,0.1864,0.2204,139.5191,1.9727,-5.3561,4.1683,4.4899,-1.5896,2.9439,-54.1401,1842.5926,-640.7407,-66.6667,-45.5752,87.4564,-53.394,-10.8533,-5.2532
"17",Mar 1999,2.74,1.14,1.1904,7.4485,0.0142,0.1908,0.4991,62.4324,-2.8577,-6.5423,-4.3922,-7.7463,1.5614,-0.5404,128.4722,-5.7197,-79.7456,470.229,26.0163,-55.3903,126.4519,-5.2532,11.1617
"18",Jun 1999,3.35,0.97,1.2431,8.8764,0.0177,0.1999,0.621,61.8519,-0.1901,-0.8517,-1.1007,-5.0539,1.9748,4.5732,24.6201,-8.5945,122.2222,-49.1299,40.6452,9.1667,24.424,11.1617,10.2296
"19",Sep 1999,3.44,0.71,1.3336,6.8187,0.0134,0.1966,0.4864,82.4836,3.3196,9.6242,5.1649,2.1859,-0.195,1.6021,-21.9512,-9.8451,61.3043,-120.7895,69.2661,32.0611,-21.6747,10.2296,-11.6971
