"","date","P.B.ratio","Free.cash.flow.per.share","Current.ratio","Net.margin","ROA","Asset.turnover","EPS","PE","Assets.Q","Current.Assets.Q","Liabilities.Q","Current.Liabilities.Q","Book.value.Q","Revenue.Q","Earnings.Q","Cash.from.operating.activities.Q","Cash.from.investing.activities.Q","Cash.from.financing.activities.Q","Cash.at.end.of.period.Q","Capital.expenditures.Q","EPS.Q","relativeReturn","Y"
"9",Mar 1996,2.57,0.51,1.281,4.6742,0.01,0.2129,0.3586,73.8985,-3.146,-4.5145,-3.323,-4.1582,-2.6892,-24.4571,-54.7633,-69.7892,10.6505,-51.3025,-17.9915,-63.7427,-54.4114,2.2999,1.1695
"10",Jun 1996,2.68,0.72,1.2712,7.408,0.0174,0.2347,0.6384,42.4969,-0.3755,0.211,0,0.9792,-1.3382,9.8074,74.031,36.2618,-24.611,-64.9331,-0.9575,1.6129,78.0257,1.1695,-4.024
"11",Sep 1996,2.66,1.52,1.2674,7.1144,0.0165,0.2316,0.6207,43.7087,0.6738,1.1378,1.219,1.4431,-0.7432,-0.6655,-4.6028,104.1719,-15.367,413.1356,15.4342,25.3968,-2.7726,-4.024,23.5865
"12",Dec 1996,3.5,2.11,1.1969,8.7413,0.0249,0.2853,1.0136,35.6551,4.0207,3.3419,5.0788,9.4268,1.2168,28.1309,57.4319,33.1889,42.0958,51.2799,12.9445,15.1899,63.2995,23.5865,1.7217
"13",Mar 1997,3.46,0.14,1.1946,6.9043,0.0156,0.2262,0.6016,62.367,-5.6759,-8.2934,-4.9207,-8.1147,-7.7538,-25.2128,-40.9293,-91.8875,-31.7228,-51.583,-22.4795,-28.5714,-40.6472,1.7217,-11.7222
"14",Jun 1997,3.92,1.28,1.1867,7.6621,0.0183,0.2394,0.7361,53.4302,2.995,3.5343,3.7719,4.2188,0.7919,9.0363,21.0042,640.6877,56.9832,-59.5265,9.129,15.3846,22.357,-11.7222,23.2982
"15",Sep 1997,4.87,1.06,1.2484,7.3045,0.0174,0.2376,0.699,71.3734,-0.6674,-1.162,-0.2947,-6.0475,-1.7554,-1.4148,-6.0166,-16.5571,-0.5931,189.415,-8.8728,16,-5.0401,23.2982,1.7485
"16",Dec 1997,4.97,1.93,1.2063,8.8227,0.0257,0.2911,1.0939,46.1925,4.0949,5.834,5.3744,9.5358,0.3037,27.5087,54.0103,74.9652,2.5656,-22.5217,19.9123,0,56.495,1.7485,-10.343
"17",Mar 1998,4.92,0.46,1.2527,5.8803,0.0133,0.226,0.5494,92.8285,-4.362,-7.0439,-4.2216,-10.4903,-4.7992,-25.7345,-50.5017,-75.0662,-17.801,36.3975,-22.671,-21.8391,-49.776,-10.343,12.3095
"18",Jun 1998,5.82,1.26,1.2316,7.714,0.0188,0.2441,0.7781,74.7462,-1.0674,-1.4905,-0.9208,0.1934,-1.5266,6.8396,40.1544,154.9416,2.477,24.408,-7.4795,-23.5294,41.6272,12.3095,19.3734
