"","date","P.B.ratio","Free.cash.flow.per.share","Current.ratio","Net.margin","ROA","Asset.turnover","EPS","PE","Assets.Q","Current.Assets.Q","Liabilities.Q","Current.Liabilities.Q","Book.value.Q","Revenue.Q","Earnings.Q","Cash.from.operating.activities.Q","Cash.from.investing.activities.Q","Cash.from.financing.activities.Q","Cash.at.end.of.period.Q","Capital.expenditures.Q","EPS.Q","relativeReturn","Y"
"9",Mar 1996,3.75,0.11,2.4593,19.2506,0.0491,0.2549,0.1359,51.067,4.0848,6.6074,-0.8576,-3.0119,6.2685,1.3974,3.1142,-12.237,-0.6836,-88.2353,33.6295,-15.102,2.9545,-23.5062,19.2532
"10",Jun 1996,4.27,0.22,2.7398,22.5276,0.0539,0.2394,0.1579,52.9449,5.9334,11.5037,1.8428,0.0855,7.6196,-0.4953,16.443,41.1356,7.0796,286.8421,43.6829,-7.2115,16.1884,19.2532,20.3779
"11",Sep 1996,4.93,0.16,2.7996,25.5154,0.0623,0.244,0.1999,52.026,9.1813,16.5195,12.777,14.0336,7.7787,11.2746,26.0327,-25.6147,-17.3554,-79.5918,25.0623,-18.3938,26.5991,20.3779,30.376
"12",Dec 1996,6.39,0.38,2.8139,29.6584,0.0805,0.2713,0.292,49.863,12.6376,22.0152,12.3608,21.3929,12.7506,25.2431,45.5793,95.7332,151.3333,471.6667,18.5596,25.3968,46.073,30.376,24.6202
"13",Mar 1997,7.15,0.22,2.6506,30.7537,0.079,0.2569,0.3027,60.9514,5.7594,6.5551,16.4797,13.1195,1.3988,0.1242,3.822,-31.7777,-25.5084,155.9767,-8.1873,-0.1266,3.6644,24.6202,-14.9745
"14",Jun 1997,7.18,0.14,3.0613,27.6007,0.0654,0.237,0.2518,74.4241,0.1793,-2.6884,-3.1649,-15.7426,1.7419,-7.5682,-17.0449,-13.9964,-81.4243,61.7312,4.6548,22.8137,-16.8153,-14.9745,9.8957
"15",Sep 1997,7.99,0.19,2.9318,25.5727,0.0579,0.2263,0.2405,88.3992,8.168,6.7024,-6.2783,11.4132,14.5927,3.2718,-4.3161,25.5887,323.9617,-93.662,24.5627,19.6078,-4.4877,9.8957,-2.8269
"16",Dec 1997,6.74,0.29,2.6357,26.7865,0.0604,0.2253,0.2679,76.7451,6.1726,4.8018,32.1158,16.5763,-3.2638,5.7189,10.737,44.7917,166.315,815.5556,-17.7131,36.6695,11.3929,-2.8269,-11.2731
"17",Mar 1998,6.92,0.14,2.7796,21.2131,0.0421,0.1985,0.1876,109.5949,4.6711,2.5525,-9.8174,-2.7575,11.8684,-7.7762,-26.965,-40.4604,-67.9683,-104.1262,23.6714,-28.7247,-29.9739,-11.2731,-10.0955
"18",Jun 1998,5.92,-0.1,3.1425,19.7739,0.0412,0.2086,0.1744,108.0275,-5.9909,-17.8466,-22.6631,-27.3317,0.6857,-1.2331,-7.934,-80.4737,57.6855,-5408.8235,-62.8031,-4.6058,-7.0362,-10.0955,20.3014
"19",Sep 1998,6.29,0.34,2.7993,23.1615,0.053,0.229,0.2338,86.9547,3.4133,10.0613,13.5228,23.5543,0.3037,13.565,33.0205,639.604,-76.4146,-13.9058,53.6831,-32.9619,34.0596,20.3014,8.0152
"20",Dec 1998,7.78,0.47,2.3217,27.108,0.0656,0.2419,0.3104,81.9265,7.0879,-8.4143,6.6544,10.4262,7.2389,13.1184,32.3926,24.8327,652.4941,-8.3655,-29.7241,-12.8809,32.763,8.0152,16.6538
"21",Mar 1999,8.9,0.31,2.6462,28.143,0.0604,0.2146,0.3012,104.0505,5.154,22.0705,3.3729,7.0986,5.7706,-6.7113,-3.1492,-26.7292,-63.3523,-22.2612,22.8165,7.3132,-2.9639,16.6538,-19.1251
"22",Jun 1999,7.81,0.1,3.2193,25.9265,0.0533,0.2057,0.2644,110.2118,-0.8824,0.1459,-12.4059,-17.6802,3.0171,-5.026,-12.5063,-47.2375,-205.3402,41.7344,43.7875,13.4815,-12.2178,-19.1251,31.3095
"23",Sep 1999,9.5,0.41,2.8042,19.8963,0.0374,0.1882,0.2182,167.6444,18.7098,8.7598,33.115,24.8583,14.565,8.6273,-16.6381,159.0153,-350.7768,-51.8802,-2.4173,28.1984,-17.4735,31.3095,-9.9113
"24",Dec 1999,8.48,0.37,2.5101,25.6698,0.0481,0.1873,0.3154,117.5016,12.6124,-0.5414,15.9697,11.1129,11.49,12.0633,44.5816,-8.2999,-20.2804,5.5629,5.2107,-0.2037,44.5463,-9.9113,56.9351
"25",Apr 2000,11.44,0.33,2.4553,33.7295,0.0564,0.1672,0.4025,138.3851,9.0356,-2.3065,3.4824,-0.1268,10.9667,-2.6668,27.8937,-4.2044,-95.91,-15.6838,67.9026,9.5918,27.6157,56.9351,11.9744
"26",Jul 2000,11.37,0.28,2.4652,37.7952,0.0647,0.1711,0.4672,131.143,1.4829,18.0492,1.6399,17.574,1.432,3.8409,16.3576,-3.8098,1035,36.4583,17.795,16.5736,16.0745,11.9744,-6.2034
"27",Sep 2000,10.68,0.16,2.5232,28.7367,0.0512,0.1781,0.3728,156.1695,1.0161,4.6715,-4.9748,2.2673,2.9629,5.1928,-20.0191,-4.5627,159.207,2.9444,-11.9595,53.754,-20.2055,-6.2034,-35.3645
"28",Dec 2000,6.85,0.14,2.4451,25.2011,0.0457,0.1815,0.3264,117.5858,-2.179,-1.6736,-6.0577,1.4663,-1.0158,-0.3321,-12.5947,12.1514,99.1162,3.6017,-53.7457,25.8701,-12.4464,-35.3645,-10.2275
"29",Mar 2001,5.62,-0.22,2.5368,7.2637,0.0105,0.1444,0.0721,433.0097,-3.5374,-11.3995,-12.1623,-14.6012,-1.0825,-23.2705,-77.8842,-65.0385,-90.6794,-23.3129,-3.8642,9.9463,-77.9105,-10.2275,-18.036
"30",Jun 2001,5.02,0,2.54,3.0944,0.0043,0.1388,0.0291,947.079,-1.3514,-7.6525,-4.769,-7.7704,-0.4876,-5.137,-59.5876,79.4242,73.6264,10.2667,12.0238,-19.5195,-59.6394,-18.036,9.0079
"31",Sep 2001,4.71,0.1,2.7236,1.6196,0.0024,0.148,0.0158,1626.5823,-3.0532,-2.5311,-6.2683,-9.1002,-2.2756,3.3312,-45.9184,-2.8315,-162.5527,20.0726,51.7629,-36.334,-45.7045,9.0079,-7.9386
"32",Dec 2001,5.06,0.32,2.6839,7.2175,0.0114,0.1573,0.0752,359.9734,0.3708,4.5414,2.8335,6.0875,-0.2005,6.6921,375.4717,60.0291,19.0556,-9.8691,63.8569,-16.7766,375.9494,-7.9386,15.0245
"33",Mar 2002,6.01,0.01,2.6478,13.8033,0.0211,0.1528,0.14,229.7857,-0.0135,-0.8167,-0.4203,0.5327,0.0837,-2.8927,85.7143,-53.6267,-400.4249,-4.6927,-18.143,25.8803,86.1702,15.0245,-11.9709
"34",Jun 2002,4.61,0.09,2.9925,7.0581,0.0103,0.1453,0.0669,369.6562,-2.0073,-1.6467,-7.1638,-12.975,-0.7808,-6.8132,-52.3504,10.5366,-46.4875,18.4056,-6.9896,-22.028,-52.2143,-11.9709,-13.9585
"35",Sep 2002,3.16,0.22,2.873,10.5474,0.0157,0.1491,0.1035,162.8986,0.3173,4.9067,5.1907,9.2728,-0.7673,2.9277,53.8117,41.5631,-38.1498,6.8317,10.0527,-14.3498,54.7085,-13.9585,-8.2143
"36",Dec 2002,3.22,0.35,2.8696,14.6508,0.0237,0.1619,0.1603,106.9245,1.3475,4.8767,5.1267,4.9992,0.456,10.0861,52.9155,47.2606,157.4074,-8.4337,10.8715,25.9686,54.8792,-8.2143,3.2563
"37",Mar 2003,3.13,0.12,3.0381,13.5535,0.0209,0.1541,0.14,121.2857,-0.9452,0.7979,-4.0087,-4.7915,-0.1889,-5.7123,-12.7741,-51.4343,-48.6995,6.5789,-3.6467,-20.6983,-12.6638,3.2563,0.704500000000001
