"","date","P.B.ratio","Free.cash.flow.per.share","Current.ratio","Net.margin","ROA","Asset.turnover","EPS","PE","Assets.Q","Current.Assets.Q","Liabilities.Q","Current.Liabilities.Q","Book.value.Q","Revenue.Q","Earnings.Q","Cash.from.operating.activities.Q","Cash.from.investing.activities.Q","Cash.from.financing.activities.Q","Cash.at.end.of.period.Q","Capital.expenditures.Q","EPS.Q","relativeReturn","Y"
"12",Mar 1996,6.78,0.26,2.036,14.8106,0.0417,0.2816,0.2964,77.4966,5.9699,13.4165,3.217,0.7748,8.6567,10.0702,69.8925,-3.692,-92.5743,-20.7944,43.547,-53.9916,69.8567,1.6739,0.7076
"13",Jun 1996,6.34,0.17,2.1014,14.6971,0.041,0.2788,0.2968,78.8747,1.9271,2.6769,-0.5158,-0.5201,4.1921,0.8999,0.1266,-20.0438,531.1111,-12.0944,7.8886,26.0274,0.135,0.7076,0.1195
"14",Sep 1996,6.35,0.38,1.9461,13.8837,0.0377,0.2713,0.2816,86.5767,3.1339,3.8511,1.8423,12.1391,4.2773,0.3716,-5.1833,78.7671,116.9014,54.3624,12.2581,10.8696,-5.1213,0.1195,-5.9324
"15",Dec 1996,6.3,0.14,1.8075,10.1054,0.0278,0.275,0.2085,121.247,0.5023,-2.3958,-0.6282,5.0882,1.4797,1.8512,-25.8667,-27.7395,21.2662,-41.087,-3.6877,86.9281,-25.9588,-5.9324,8.0693
"16",Mar 1997,6.86,0.33,1.8284,15.9055,0.0441,0.2772,0.3412,81.6237,3.0485,6.4248,2.9649,5.2083,3.1192,3.8713,63.4892,15.8006,-45.7831,72.3247,8.901,-65.035,63.6451,8.0693,-10.6217
"17",Jun 1997,7.04,0.23,1.9334,15.953,0.0433,0.2713,0.3411,86.4849,1.8671,2.9884,-1.7256,-2.6036,4.9042,-0.2975,0,-20.8791,-19.2593,2.3555,2.1461,30,-0.0293,-10.6217,-1.0091
"18",Sep 1997,6.87,0.37,2.0327,15.3061,0.0394,0.2577,0.3182,95.066,3.1992,8.4615,2.2837,3.1627,3.9242,-1.9656,-5.9406,49.7685,-29.6636,-37.6569,33.84,15.7692,-6.7136,-1.0091,-0.3938
"19",Dec 1997,6.62,0.17,1.9994,11.1901,0.0294,0.2624,0.2339,128.2172,-1.0334,-5.171,-4.2233,-3.5949,1.453,0.7877,-26.3158,-15.5332,183.4783,126.8456,-8.0494,109.3023,-26.4928,-0.3938,5.3324
"20",Mar 1998,7.62,0.34,2.135,17.465,0.0461,0.2639,0.3756,93.1044,2.1535,5.4057,0.1759,-1.2871,3.6087,2.7176,60.3175,9.6981,-43.2515,0.5917,5.0854,-53.6508,60.5814,5.3324,1.8448
"21",Jun 1998,7.61,0.24,2.2067,17.3785,0.0451,0.2592,0.3736,96.9486,1.7933,1.8502,-1.2514,-1.4573,3.9594,0,-0.495,-16.347,-5.6757,-36.7647,7.6391,23.2877,-0.5325,1.8448,15.264
"22",Sep 1998,7.53,0.42,2.2548,16.789,0.0412,0.2453,0.3573,104.2821,4.5948,7.3721,4.4353,5.0788,4.7025,-1.0202,-4.3781,32.3031,-18.9112,4.6512,20.167,-45.5556,-4.363,15.264,-10.3958
"23",Jan 1999,7.84,0.28,1.3639,1.3036,0.0032,0.2429,0.0308,1317.8571,12.3345,-8.5742,34.3374,51.1481,-2.4968,11.2334,-91.3632,2.2607,1538.5159,-424.8889,-48.5035,212.2449,-91.3798,-10.3958,-9.9604
"24",Apr 1999,8.47,0.31,1.477,16.9931,0.0422,0.2482,0.4193,101.9556,2.0411,4.3658,-0.7686,-3.6266,4.6505,4.2563,1259.0361,-17.0965,-84.9256,-135.7045,-7.6284,-51.3072,1261.3636,-9.9604,12.8199
"25",Jul 1999,9.02,0.38,1.5408,16.8515,0.0426,0.2527,0.4295,111.0594,1.4208,4.5877,-1.1338,0.2543,3.6704,3.254,2.3936,11.7333,-53.7911,27.9693,13.7079,-23.1544,2.4326,12.8199,1.9613
"26",Oct 1999,8.94,0.54,1.842,16.2839,0.0391,0.2401,0.3952,123.9119,3.6201,5.8102,2.7621,-11.4887,4.3407,-1.532,-4.8485,58.0748,78.0186,26.9461,29.2984,109.607,-7.986,1.9613,-1.3916
"27",Jan 2000,8.91,0.21,1.7709,10.8575,0.0269,0.2479,0.2824,174.398,3.7534,2.6678,1.7762,6.7908,5.3887,7.127,-28.5714,-34.1721,133.913,-69.8113,-9.7058,50.2083,-28.5425,-1.3916,-15.3297
"28",Apr 2000,6.99,0.52,1.9607,17.9533,0.0439,0.2443,0.4724,86.304,2.7432,5.8788,-1.0579,-4.3735,5.7793,1.231,67.3885,34.9388,-75.0929,333.5938,12.6957,-57.0042,67.2805,-15.3297,7.3705
"29",Jul 2000,6.96,0.41,2.175,17.7278,0.0439,0.2477,0.4787,89.7639,1.1414,2.7905,-3.8008,-7.3373,4.8338,2.5823,1.2938,-15.6374,11.9403,-24.7748,10.2891,16.7742,1.3336,7.3705,7.2509
"30",Oct 2000,7.41,0.61,2.2843,17.5458,0.0411,0.234,0.4547,105.3882,1.5806,5.9794,-0.2272,0.9084,2.82,-4.049,-5.0338,38.3479,98.4,-21.5569,20.8716,2.4862,-5.0136,7.2509,3.4641
"31",Dec 2000,7.34,0.23,2.1639,12.5352,0.0284,0.2269,0.3188,153.0113,1.7444,1.4778,1.7483,7.1268,1.7419,-1.3326,-29.5095,-39.3689,22.8495,-23.6641,-3.9155,62.5337,-29.8878,3.4641,-4.5926
"32",Apr 2001,6.88,0.49,2.4078,19.253,0.0471,0.2444,0.5369,86.2358,1.7688,6.2848,-5.8339,-4.4818,6.8269,9.6089,68.3502,30.3443,-78.2276,132.2,6.9188,-57.3798,68.4128,-4.5926,6.5119
"33",Jul 2001,6.73,0.64,2.4763,17.7655,0.0411,0.2311,0.475,101.8947,13.258,10.7789,13.6383,7.7126,13.035,7.0723,-1.2,41.1548,495.9799,-23.7726,29.4763,22.179,-11.5291,6.5119,27.0772
"34",Sep 2001,7.39,0.57,2.5425,18.5603,0.0413,0.2223,0.5016,107.2568,2.637,4.8815,-0.5302,2.1508,4.5044,-1.2467,3.1714,-6.7885,-40.8094,29.2655,7.285,29.6178,5.6,27.0772,-7.3028
"35",Dec 2001,7.32,0.67,2.2965,13.4021,0.0301,0.2243,0.3797,150.1449,3.8728,-3.1763,7.0276,7.1962,2.1025,4.7949,-24.3296,30.5322,185.755,80.1573,-25.8192,85.0123,-24.3022,-7.3028,1.9554
"36",Mar 2002,7.58,0.53,2.2184,20.9768,0.0479,0.2283,0.6091,98.9985,-0.4989,-0.314,2.2308,3.1949,-2.1046,1.2742,58.5134,-30.794,-95.8126,4.9491,-8.5418,-53.5193,60.4161,1.9554,8.4199
"37",Jun 2002,7.44,0.37,1.7842,18.2299,0.0431,0.2366,0.5559,105.5046,0.1436,2.3839,12.9486,27.2979,-7.7225,3.7744,-9.8146,-19.4832,439.2857,-5.0393,-24.1781,29.1429,-8.7342,8.4199,1.0025
"38",Sep 2002,6.62,0.69,1.7756,18.9999,0.0446,0.2348,0.5807,83.9676,0.8135,0.7797,0.7169,1.2681,0.8862,0.0661,4.2926,64.0565,-33.1126,-18.5005,21.297,9.9558,4.4612,1.0025,7.3317
