"","date","P.B.ratio","Free.cash.flow.per.share","Current.ratio","Net.margin","ROA","Asset.turnover","EPS","PE","Assets.Q","Current.Assets.Q","Liabilities.Q","Current.Liabilities.Q","Book.value.Q","Revenue.Q","Earnings.Q","Cash.from.operating.activities.Q","Cash.from.investing.activities.Q","Cash.from.financing.activities.Q","Cash.at.end.of.period.Q","Capital.expenditures.Q","EPS.Q","relativeReturn","Y"
"9",Mar 1996,18.23,0.1,0.77,17.0005,0.0456,0.2684,0.1428,137.8852,3.896,9.4312,4.5393,5.4028,2.7448,-3.2079,10.0309,-19.7789,-64.4283,-98.1735,35.5613,-43.913,10.2703,-3.268,11.3365
"10",Jun 1996,19.96,0.14,0.8071,19.9886,0.0635,0.3179,0.2106,105.2232,5.7337,10.161,4.9569,5.1001,7.148,25.2504,47.2651,41.6539,36.2245,2743.75,12.1365,76.7442,47.479,11.3365,6.7161
"11",Sep 1996,20.62,0.16,0.8923,20.7689,0.0609,0.2933,0.1943,126.2995,-3.9279,-3.1963,-8.9544,-12.4324,5.0371,-11.3649,-7.9048,15.2432,-135.9551,63.7363,22.097,23.2456,-7.7398,6.7161,-6.5678
"12",Dec 1996,20.23,0.11,0.798,17.1506,0.0472,0.2749,0.1536,164.6484,1.808,-7.0755,3.7971,3.9001,-1.267,-4.5747,-21.1996,-23.1707,-811.4583,18.9262,-33.8412,-3.5587,-20.947,-6.5678,10.9914
"13",Mar 1997,23.06,0.14,0.8673,23.8521,0.0603,0.2529,0.1991,143.6464,1.2252,7.2758,-2.2689,-1.2962,6.9038,-6.8647,29.5276,10.3785,-180.8199,-1.693,35.0314,-28.4133,29.6224,10.9914,-6.9659
"14",Jun 1997,23.56,0.2,0.9092,25.8916,0.0717,0.277,0.2649,118.3088,12.0056,19.6057,13.1008,14.0903,10.3784,22.6438,33.1307,35.3982,-182.7899,-77.8416,31.8863,20.6186,33.0487,-6.9659,-2.2433
"15",Sep 1997,21.75,0.21,0.9111,20.4078,0.0581,0.2847,0.2044,155.3327,-5.0265,-11.9214,-8.4818,-12.0983,0.234,-2.3842,-23.0594,7.5163,-136.7615,869.4301,-17.3197,25.641,-22.8388,-2.2433,-5.739
"16",Dec 1997,20.26,0.06,0.8089,17.3793,0.0482,0.2775,0.1653,180.1573,-2.6549,-10.6303,-4.8612,0.6548,0.412,-5.107,-19.1889,-55.2432,-554.1667,-91.4484,-17.6777,2.0408,-19.1292,-5.739,7.565
"17",Mar 1998,23.91,0.07,0.8181,19.2282,0.0495,0.2576,0.1735,203.9769,2.1192,2.7978,0.3219,1.6398,4.4864,-5.1904,4.896,-13.2428,-36.4351,-199.375,8.6931,-40.3333,4.9607,7.565,10.3641
"18",Jun 1998,25.59,0.19,0.8657,23.1217,0.0652,0.2822,0.2415,164.265,5.5321,12.94,6.3251,6.7333,4.5294,15.571,38.9732,122.3092,-39.5876,-538.3648,7.3623,17.8771,39.1931,10.3641,2.2339
"19",Sep 1998,22,0.15,0.7648,18.7066,0.0497,0.2656,0.1801,197.8901,-2.1089,-13.4776,-2.5411,-2.0612,-1.5529,-7.8431,-25.4408,-15.757,18.0887,28.9813,-13.8629,-8.5308,-25.4244,2.2339,-25.3201
"20",Dec 1998,20.57,0.12,0.7384,13.3917,0.0312,0.2329,0.121,270.2479,7.1289,6.4043,7.3127,10.2041,6.8948,-6.0881,-32.7703,-13.3751,199.711,-111.5684,-5.6128,17.0984,-32.8151,-25.3201,-7.2593
"21",Mar 1999,19.11,0.02,0.7078,16.8699,0.0383,0.2273,0.1514,214.531,1.7603,-2.0063,-6.9633,2.2338,12.9121,-0.6729,25.1256,-59.3486,-50.6268,116.3462,-3.3374,-1.7699,25.124,-7.2593,-13.1829
"22",Jun 1999,16.73,0.23,0.7466,17.5125,0.0444,0.2535,0.1908,168.3962,8.9057,13.9475,21.5129,8.0267,-4.3739,21.477,26.1044,319.5846,86.3281,-17.7778,38.9203,34.2342,26.0238,-13.1829,-5.956
"23",Sep 1999,15.41,0.18,0.6323,15.1492,0.0362,0.2389,0.1593,178.0289,2.4933,-14.0371,1.1034,1.5091,4.3536,-3.4207,-16.4544,-19.024,54.6122,-289.1892,-32.1283,-18.1208,-16.5094,-5.956,-8.6847
"24",Dec 1999,15.15,0.15,0.6575,-0.9369,-0.0021,0.2221,-0.0091,-3195.6044,-0.5656,5.8132,-1.3683,1.7551,0.4753,-7.5457,-105.7179,-13.7991,-67.4576,51.7143,7.257,6.5574,-105.7125,-8.6847,-0.6366
"25",Mar 2000,14.29,-0.01,0.6673,-1.3209,-0.0026,0.1976,-0.0117,-2345.2991,2.7748,14.5833,10,12.8957,-6.4228,-8.578,28.8889,-82.8774,-17.7083,-302.2599,52.3277,-13.8462,28.5714,-0.6366,0.5866
"26",Jun 2000,14.67,0.18,0.6851,16.4739,0.0398,0.2417,0.1869,141.3055,4.6573,9.2256,5.6527,6.3809,3.1678,28.0118,-1696.5517,528.4024,32.6582,-111.0801,15.8517,-17.8571,-1697.4359,0.5866,5.2131
