"","date","P.B.ratio","Free.cash.flow.per.share","Current.ratio","Net.margin","ROA","Asset.turnover","EPS","PE","Assets.Q","Current.Assets.Q","Liabilities.Q","Current.Liabilities.Q","Book.value.Q","Revenue.Q","Earnings.Q","Cash.from.operating.activities.Q","Cash.from.investing.activities.Q","Cash.from.financing.activities.Q","Cash.at.end.of.period.Q","Capital.expenditures.Q","EPS.Q","relativeReturn","Y"
"12",Mar 1996,4.01,0.34,1.6698,10.4383,0.0256,0.2456,0.4324,76.2488,-0.423,0.8913,-2.0414,3.7594,1.2929,196.6638,-473.1959,-32.0158,-1.1236,-37.6623,8.6598,182.9268,-472.7586,-3.6812,0.5816
"13",Jun 1996,4.03,0.33,1.6688,10.8177,0.0288,0.2666,0.4545,73.8394,-6.4576,2.9448,-0.4755,3.0021,-12.5914,1.5571,5.2486,3.4884,-6.8182,-24.5833,20.1139,9.9138,5.111,0.5816,-4.9179
"14",Sep 1996,4.57,0.09,1.6189,10.9854,0.0291,0.2647,0.4761,69.8593,3.6182,6.0524,3.9067,9.3216,3.2814,2.8677,4.4619,-35.0187,14.2276,-41.989,-7.7409,6.6667,4.7525,-4.9179,6.5215
"15",Dec 1996,5.13,0.64,1.7118,10.6266,0.0288,0.2711,0.4619,83.6328,-2.3742,-7.9216,-4.2467,-12.9166,-0.1747,0,-3.2663,134.5821,67.2598,261.9048,-0.1712,4.4118,-2.9826,6.5215,10.0181
"16",Mar 1997,5.74,0.1,1.7468,11.0393,0.0308,0.2793,0.4925,87.9391,-0.5088,-0.7555,-0.2825,-2.7448,-0.7638,2.5117,6.4935,-53.0713,-36.5957,-19.4737,-36.0206,4.2254,6.6248,10.0181,-9.3886
"17",Jun 1997,6.2,0.22,1.9004,10.951,0.0307,0.2808,0.503,92.2664,2.2413,4.3654,2.6204,-4.0706,1.8121,2.7733,1.9512,41.623,9.0604,-30.719,4.8257,21.6216,2.132,-9.3886,-0.9228
"18",Sep 1997,6.23,0.36,1.9015,24.229,0.0691,0.2851,1.1342,41.9944,-1.2726,-1.4141,-2.0428,-1.471,-0.3938,0.2358,121.7703,18.854,-302.4615,561.3208,-21.7391,-3.8889,125.4871,-0.9228,-3.7123
"19",Dec 1997,5.9,-0.28,1.5486,9.8573,0.0276,0.2805,0.4529,100.7728,-1.3635,-6.87,3.0294,14.3554,-6.2935,-2.9535,-60.5178,-78.2271,-159.5745,-111.4836,-24.8366,5.7803,-60.0688,-3.7123,-14.7569
"20",Mar 1998,6.01,0.05,1.5128,10.8108,0.0293,0.2709,0.4944,89.0979,3.1651,3.3074,4.5405,5.7494,1.4681,-0.3501,9.2896,167.8571,2.2959,-114.9068,-21.7391,-7.6503,9.1632,-14.7569,-0.5719
"21",Jun 1998,6,0.02,1.4524,10.2387,0.0278,0.2717,0.4779,93.2413,1.6182,-0.0942,2.4856,4.0598,0.5155,1.8919,-3.5,4.5333,-8.4788,-12.5,21.6667,10.6509,-3.3374,-0.5719,-3.4062
