"","date","P.B.ratio","Free.cash.flow.per.share","Current.ratio","Net.margin","ROA","Asset.turnover","EPS","PE","Assets.Q","Current.Assets.Q","Liabilities.Q","Current.Liabilities.Q","Book.value.Q","Revenue.Q","Earnings.Q","Cash.from.operating.activities.Q","Cash.from.investing.activities.Q","Cash.from.financing.activities.Q","Cash.at.end.of.period.Q","Capital.expenditures.Q","EPS.Q","relativeReturn","Y"
"9",Mar 1996,6.9,0.38,1.5053,19.0667,0.036,0.1889,0.355,92.8732,0.6382,-0.0766,2.2773,0.5396,-0.6161,-0.5837,0.6995,2.7163,-60.71,-329.7652,-5.0882,-22.1343,1.6027,-1.8959,-8.2143
"10",Jun 1996,6.4,0.33,1.4452,19.8032,0.0418,0.2112,0.4032,76.0417,-3.0758,-11.4773,-4.2708,-7.7934,-2.8302,8.3525,12.5376,-6.9196,-177.8138,140.0511,-3.7983,17.2063,13.5775,-8.2143,1.2598
"11",Sep 1996,6.87,0.41,1.5548,20.1047,0.0418,0.2078,0.4156,77.6708,3.1631,2.0715,6.881,-5.1229,0.5576,1.5197,3.0655,13.2069,-321.4442,-63.7012,-20.3106,-15.6441,3.0754,1.2598,9.1492
"12",Dec 1996,8.11,0.64,1.6,19.3023,0.043,0.2225,0.4312,88.9147,1.2993,-0.6928,-2.4665,-3.4971,5.0366,8.4822,4.1521,51.9564,-16.6914,71.5764,0.61,36.0244,3.7536,9.1492,13.8917
"13",Mar 1997,8.98,0.51,1.7137,18.3247,0.0413,0.2251,0.4226,105.2295,1.8083,6.3417,0.7121,-0.7144,3.857,2.9929,-2.2233,-21.222,-59.2742,-31.0615,28.4088,-26.7637,-1.9944,13.8917,-12.4312
"14",Jun 1997,8.99,0.37,1.829,19.5356,0.045,0.2306,0.4779,96.8822,3.6208,2.4633,4.2732,-3.9982,3.1282,6.1298,13.1432,-18.6805,195.8224,-43.8029,-8.6145,19.3043,13.0857,-12.4312,3.8567
"15",Sep 1997,9.37,0.52,1.5389,20.1967,0.0462,0.2289,0.4996,99.5396,1.0531,-2.4849,12.4931,15.9027,0.1022,0.3131,3.7076,36.1914,-125.8937,474.8313,-19.2313,33.2265,4.5407,3.8567,-2.5707
"16",Dec 1997,9,0.63,1.4749,19.9323,0.0481,0.2414,0.5193,92.8558,-0.3317,0.039,1.5708,4.3786,-1.7196,5.1352,3.7588,18.2945,-294.508,-29.0286,-12.225,10.4618,3.9432,-2.5707,10.1495
"17",Mar 1998,11.11,0.51,1.7191,19.2183,0.0441,0.2295,0.4871,120.2012,2.278,2.1149,0.1215,-12.3927,4.224,-2.7808,-6.2631,-22.045,11.5686,-69.8594,41.9074,-31.3303,-6.2007,10.1495,3.2063
"18",Jun 1998,11.17,0.25,1.4829,20.3403,0.0479,0.2353,0.5526,111.1835,4.1443,6.0894,5.1211,22.9907,3.9349,6.7934,13.0282,-30.9352,16.5729,11.5847,-10.7541,44.9905,13.4469,3.2063,15.7944
