"","date","P.B.ratio","Free.cash.flow.per.share","Current.ratio","Net.margin","ROA","Asset.turnover","EPS","PE","Assets.Q","Current.Assets.Q","Liabilities.Q","Current.Liabilities.Q","Book.value.Q","Revenue.Q","Earnings.Q","Cash.from.operating.activities.Q","Cash.from.investing.activities.Q","Cash.from.financing.activities.Q","Cash.at.end.of.period.Q","Capital.expenditures.Q","EPS.Q","relativeReturn","Y"
"9",Mar 1996,8.98,0.08,3.3993,25.4875,0.0586,0.2299,0.0587,99.4889,5.3152,8.3486,2.4634,1.0263,6.7152,0.4556,-2.2609,-35.4033,-55.4184,-121.5686,26.4313,50,-2.9752,-7.443,19.5113
"10",Jun 1996,10.22,0.08,3.2326,24.7894,0.0554,0.2234,0.0586,120.3072,5.245,1.8581,6.6202,7.1113,4.746,2.2676,-0.5338,0.884,217.5385,-521.8182,-11.4402,19.697,-0.1704,19.5113,5.054
"11",Sep 1996,10.68,0.07,3.0913,26.7538,0.0572,0.2137,0.0642,119.7819,6.4104,5.0134,9.085,9.8144,5.3416,1.7738,9.839,-14.2388,-100.3876,62.069,16.0323,-37.3418,9.5563,5.054,13.5229
"12",Dec 1996,12.46,0.11,3.3212,27.6493,0.058,0.2096,0.077,122.987,19.0503,26.8465,-5.8119,18.0623,32.4997,16.7756,20.684,55.5556,-50375,-331.9149,2.5845,18.1818,19.9377,13.5229,19.5505
"13",Mar 1997,11.52,0.16,2.9388,32.4813,0.0826,0.2543,0.1087,105.9798,-1.353,-2.0877,10.6552,10.6552,-5.2686,19.7015,40.6208,32.8407,-131.3774,-267.7752,24.4186,-5.9829,41.1688,19.5505,5.4155
"14",Jun 1997,14.79,0.09,2.8734,33.2913,0.0735,0.2207,0.109,128.8991,14.0649,1.4574,3.7654,3.7654,17.9877,-1.0287,1.4395,-33.869,-371.4739,-131.8524,-3.7902,57.2727,0.276,5.4155,18.3702
"15",Sep 1997,15.43,0.16,2.7775,21.1821,0.0431,0.2037,0.0687,249.345,6.8048,4.4828,8.0886,8.0886,6.3747,-1.4173,-37.2753,57.0093,-30.4729,-150.2146,6.449,-32.3699,-36.9725,18.3702,-2.9785
"16",Dec 1997,13.9,0.15,2.5881,31.6039,0.0673,0.2129,0.115,143.8261,9.5926,7.363,15.223,15.223,7.6762,14.5367,70.8899,-0.9524,126.1965,35.0427,-34.5501,29.0598,67.3945,-2.9785,4.4464
"17",Mar 1998,15.31,0.2,2.8209,35.4266,0.0684,0.1931,0.1356,141.1504,16.0629,18.0388,8.2963,8.2963,18.8918,5.272,18.0053,26.3221,-46.9933,-375.9494,59.1789,-2.649,17.913,4.4464,22.6172
"18",Jun 1998,15.97,0.12,2.7729,33.9675,0.0607,0.1787,0.1365,174.359,14.3873,15.6826,17.6833,17.6833,13.2938,5.8559,1.4959,-31.7793,37.1849,-73.3945,-6.5937,63.9456,0.6637,22.6172,24.8717
"19",Sep 1998,16.03,0.25,2.9424,42.5753,0.0658,0.1546,0.1687,158.6841,14.3669,19.353,12.4782,12.4782,15.0177,-1.0513,24.0236,80.1953,-4.441,167.6724,35.2175,-56.0166,23.5897,24.8717,-4.8557
"20",Dec 1998,15.65,0.2,2.9192,40.158,0.066,0.1643,0.1965,152.8753,17.5212,15.0021,15.9193,15.9193,18.0611,24.9178,17.8253,-16.757,9.4017,25.6039,17.7615,27.3585,16.479,-4.8557,28.7664
"21",Mar 1999,18.15,0.26,3.069,44.2623,0.0571,0.129,0.1878,216.5069,11.6876,10.3123,4.9257,4.9257,13.9251,-12.2924,-3.3283,24.7792,81.7871,47.1795,1.4723,-62.963,-4.4275,28.7664,-6.8913
