"","date","P.B.ratio","Free.cash.flow.per.share","Current.ratio","Net.margin","ROA","Asset.turnover","EPS","PE","Assets.Q","Current.Assets.Q","Liabilities.Q","Current.Liabilities.Q","Book.value.Q","Revenue.Q","Earnings.Q","Cash.from.operating.activities.Q","Cash.from.investing.activities.Q","Cash.from.financing.activities.Q","Cash.at.end.of.period.Q","Capital.expenditures.Q","EPS.Q","relativeReturn","Y"
"5",Feb 1996,4.21,-0.01,1.9191,7.6259,0.0312,0.4095,0.0496,81.4516,6.7743,9.707,11.7482,13.381,4.0271,3.368,-3.8071,-260.2871,5.5202,-33.9441,26.709,13.5514,-3.876,11.4247,28.3159
"6",May 1996,5.3,0.05,1.8588,8.1425,0.0396,0.4862,0.068,77.9412,8.4859,9.1764,12.0761,12.7238,6.3558,28.808,37.555,452.8358,72.6358,-246.4234,1.0019,30.2469,37.0968,28.3159,22.3647
"7",Aug 1996,6.09,-0.02,1.9322,9.9067,0.0511,0.5156,0.0981,65.8512,12.0002,15.2848,16.3597,10.8991,9.2745,18.7685,44.5652,-88.4449,7.9254,-262.9113,51.8886,5.3712,44.2647,22.3647,-4.3581
"8",Nov 1996,6.28,0,2.0954,8.3944,0.04,0.4766,0.0767,94.133,-0.1039,-2.3126,-9.4692,-9.9262,6.1274,-7.6647,-21.7603,384.1121,19.6544,-180.2938,-32.8058,52.1739,-21.8145,-4.3581,5.344
"9",Feb 1997,6.56,-0.08,2.1826,9.7841,0.048,0.4902,0.1027,77.8968,11.8362,13.9857,20.5195,9.4371,6.9085,15.0261,34.0305,-165.8301,42.148,-306.0213,12.4486,24.2365,33.8983,5.344,-9.3402
"10",May 1997,5.94,0.05,2.052,6.561,0.0291,0.4428,0.0672,115.7738,8.4275,9.4387,14.2694,16.4048,4.6873,-2.0507,-34.2893,-490.4692,-14.0317,-95.8565,48.0718,16.8121,-34.5667,-9.3402,-10.1446
"11",Aug 1997,5.37,0.01,2.2292,9.1512,0.045,0.4917,0.1089,67.034,4.928,4.4872,1.5643,-3.8192,7.2787,16.5213,62.4519,-48.4041,7.8287,-436.6071,-9.4971,-28.9206,62.0536,-10.1446,-15.7837
"12",Nov 1997,4.34,0.01,2.458,6.2542,0.0262,0.419,0.0607,104.4481,-4.3072,-8.1643,-13.9738,-16.7131,2.0883,-18.4664,-44.2908,10.4076,4.2466,555.1724,-65.3436,25.979,-44.2608,-15.7837,-22.6439
"13",Feb 1998,3.68,-0.1,2.1195,3.2877,0.013,0.3945,0.0318,172.6415,4.737,5.9032,17.4685,22.8151,-2.361,-1.3878,-48.156,-184.5748,-20.6965,-197.4089,7.5877,-20.4701,-47.6112,-22.6439,-0.1378
"14",May 1998,3.88,0.09,2.0734,-2.9335,-0.0125,0.4276,-0.0295,-193.5593,-4.2692,-9.2576,-5.6417,-7.2358,-3.3485,3.7635,-192.6129,-378.0982,45.9818,-194.4722,-27.7445,40.7054,-192.7673,-0.1378,10.5624
"15",Aug 1998,3.83,0.13,2.224,6.5394,0.0309,0.4722,0.0715,76.0839,-1.7193,-3.496,-8.4418,-10.0305,2.6827,8.541,-341.9498,3.3913,-44.3814,-10.4267,54.512,-44.4444,-342.3729,10.5624,-31.5859
"16",Nov 1998,3.33,0.1,2.098,3.6017,0.0131,0.3644,0.0305,159.3443,-1.0312,-3.2149,3.012,2.5964,-3.392,-23.6266,-57.9365,-18.0808,-1.0204,-51.277,51.7282,-2.561,-57.3427,-31.5859,13.7591
"17",Feb 1999,3.94,-0.06,2.1007,5.7056,0.0235,0.4113,0.0552,101.9928,0.8057,1.2941,0.978,1.1636,0.6985,13.7899,80.2612,-118.8617,10.2062,-130.746,-49.7643,8.3855,80.9836,13.7591,15.4867
"18",May 1999,5.01,0.11,2.2565,4.3303,0.018,0.4159,0.0419,173.2697,-0.8409,-2.3128,-5.9486,-9.0572,2.348,0.2527,-23.913,-708.5965,7.203,-663.2787,54.8866,25.1732,-24.0942,15.4867,-7.098
"19",Aug 1999,4.68,0.02,1.9124,8.0045,0.0351,0.4385,0.0894,77.5168,8.701,5.893,22.9052,24.943,0.5518,14.6084,111.8519,-8.8786,151.6579,-111.234,14.1848,157.7491,113.3652,-7.098,-7.5188
