"","date","P.B.ratio","Free.cash.flow.per.share","Current.ratio","Net.margin","ROA","Asset.turnover","EPS","PE","Assets.Q","Current.Assets.Q","Liabilities.Q","Current.Liabilities.Q","Book.value.Q","Revenue.Q","Earnings.Q","Cash.from.operating.activities.Q","Cash.from.investing.activities.Q","Cash.from.financing.activities.Q","Cash.at.end.of.period.Q","Capital.expenditures.Q","EPS.Q","relativeReturn","Y"
"9",Mar 1996,7.68,0.02,1.1686,19.2767,0.0392,0.2036,0.1346,80.9807,3.4935,4.122,0.8764,5.6832,6.9597,3.2333,25.8214,-66.2492,-175.2413,-89.2677,102.8267,-33.5303,25.6769,0.252599999999999,6.0398
"10",Jun 1996,7.69,0.08,1.11,14.8065,0.0289,0.1954,0.1022,114.3836,3.3779,1.3269,4.79,6.6764,1.6267,-0.783,-23.7911,127.1493,-319.6226,-304.4118,6.357,31.8519,-24.0713,6.0398,-0.6023
"11",Sep 1996,7.85,0.1,1.0979,18.3375,0.0352,0.1918,0.1329,90.9707,7.3207,4.8529,5.4355,6.0021,9.7557,5.3363,30.4569,17.3307,46.7354,214.3885,20.2299,10.6742,30.0391,-0.6023,6.7532
"12",Dec 1996,8.38,0.13,1.1468,15.9494,0.0344,0.2154,0.1299,108.3141,0.3489,-4.9662,-4.1863,-9.0176,5.9871,12.7364,-1.9455,28.1834,-127.4005,-303.6613,9.9426,34.0102,-2.2573,6.7532,4.2998
"13",Mar 1997,8.41,0.01,1.1983,20.06,0.04,0.1994,0.1554,96.332,2.6318,7.081,2.4374,2.4823,3.0127,-5.0316,19.4444,-64.6358,-241.453,-117.8652,6.9565,-20.0758,19.6305,4.2998,-1.7834
"14",Jun 1997,9.34,0.05,1.1434,15.6883,0.029,0.1852,0.1178,145.8404,4.5107,6.0208,8.3154,11.1073,0.3093,-2.9324,-24.0864,53.5581,-24.7734,-19.4969,23.0894,-0.9479,-24.1956,-1.7834,8.7884
"15",Sep 1997,10.49,0.07,1.2524,19.2631,0.0388,0.2016,0.1536,125.651,-2.4472,-1.4163,-7.1979,-9.9969,3.21,6.2135,30.4158,18.0488,-17.2691,-561.7188,-21.4003,8.134,30.3905,8.7884,20.8802
"16",Dec 1997,12.23,0.04,1.2856,15.9611,0.0364,0.228,0.1432,162.2905,-0.0717,-5.7881,-6.7867,-8.218,7.7414,12.9929,-6.3758,-3.3058,14.5631,-7.9526,-26.3025,31.4159,-6.7708,20.8802,9.5961
"17",Mar 1998,13.77,-0.02,1.304,20.7248,0.0434,0.2093,0.1767,158.97,4.0363,8.6217,4.9034,7.0877,3.227,-4.4908,24.0143,-76.9231,-168.2203,-84.1912,20.0684,-31.3131,23.3939,9.5961,27.7114
"18",Jun 1998,17.4,0.08,1.3456,17.286,0.038,0.2201,0.1495,243.2107,3.466,11.4876,5.6271,8.0444,1.4165,8.805,-9.2486,472.2222,-378.882,59.3023,3.4188,38.7255,-15.3933,27.7114,9.8624
"19",Sep 1998,17.9,0.133333333333333,1.3602,41.952,0.0769,0.1832,0.3588,98.7737,10.1102,19.5544,16.2014,18.2633,4.0939,-8.3402,122.4522,26.1003,33.7862,211.6788,150.0459,15.1943,140,9.8624,-15.9704
"20",Dec 1998,16.14,0.34,1.3808,19.5558,0.0346,0.1771,0.1634,219.2778,0.6877,0.5773,-0.4196,-0.923,1.9086,-2.6426,-54.617,106.8523,152.0393,147.7752,-43.004,-6.135,-54.4593,-15.9704,0.659700000000001
"21",Apr 1999,18.65,-0.12,1.3866,20.7538,0.0428,0.2064,0.2099,201.7151,3.9504,8.2368,5.1412,7.7864,2.6674,21.1289,28.5489,-107.6923,-32.4306,-172.8733,-24.8711,15.0327,28.4578,0.659700000000001,-2.4198
"22",Jul 1999,17.51,0.1,1.2657,18.7616,0.0361,0.1924,0.183,222.8962,3.2326,3.7399,10.1102,13.6481,-4.356,-3.7688,-13.0061,-695.1613,-45.259,-114.3969,4.8885,-4.8295,-12.8156,-2.4198,-11.6107
"23",Oct 1999,16.3,0.07,1.2631,17.5601,0.0346,0.1972,0.1811,200.6626,3.0499,2.9863,4.2224,3.2009,1.5605,5.6364,-1.1283,-14.5393,5.0536,106.9369,-22.9763,24.4776,-1.0383,-11.6107,-4.7291
"24",Dec 1999,16.4,0.23,1.2184,21.1718,0.0464,0.219,0.2479,150.1412,1.6552,-2.5514,2.0431,1.0229,1.1496,12.8758,36.0913,102.632,-69.0634,487.2878,-21.5499,-7.4341,36.8857,-4.7291,-2.0936
"25",Apr 2000,14.71,0.19,1.3952,27.3465,0.0583,0.2133,0.3057,111.122,-1.6963,-6.7733,-14.1183,-18.5846,14.6394,-4.2388,23.6897,-16.7449,-58.7912,14.1586,-74.1543,-17.6166,23.3159,-2.0936,22.4042
"26",Jul 2000,15.5,-0.06,1.2945,16.3329,0.0359,0.2197,0.1821,224.6568,58.4376,51.5959,70.0807,63.3859,46.967,63.175,-2.5424,-66.3534,1892,-159.3506,732.4607,127.9874,-40.4318,22.4042,3.7488
"27",Oct 2000,18.65,0.26,1.3908,18.8897,0.0406,0.2152,0.2157,204.8679,4.5063,8.5483,1.4352,1.0313,8.0077,2.3292,18.3478,493.0168,19.8795,-163.2385,-15.6604,-33.5172,18.4514,3.7488,2.4388
"28",Dec 2000,17.39,0.33,1.4345,0.3178,0.001,0.3286,0.0055,8096.3636,0.0657,0.1107,0.6815,-2.9407,-0.5936,52.8522,-97.4284,24.8234,-78.057,332.699,-18.0462,19.2946,-97.4502,2.4388,-8.8281
"29",Apr 2001,15.84,0.22,1.7195,25.2453,0.0549,0.2175,0.3057,132.0903,4.8821,8.7915,-0.2065,-9.2396,10.4006,-30.582,5414.2857,-31.5472,220.3562,-81.0476,7.0064,-25.2174,5458.1818,-8.8281,5.6415
"30",Jul 2001,14.9,0.28,1.6353,23.7965,0.0495,0.2081,0.2897,144.4943,5.1073,4.8133,9.9264,10.2078,0.3831,0.5363,-5.2332,26.2018,25.4408,62.0886,10.119,27.6744,-5.2339,5.6415,6.9618
"31",Sep 2001,13.51,0.32,1.5338,26.2345,0.0534,0.2035,0.3296,115.625,5.0486,2.0461,4.1046,8.8034,6.062,2.7583,13.2859,12.6982,-9.8335,-28.5435,46.5637,-1.6393,13.7729,6.9618,-5.2137
"32",Dec 2001,13.68,0.3,1.3526,21.6722,0.05,0.2306,0.3124,131.8182,0.8942,-7.7454,4.7715,4.6092,-3.1912,14.3327,-5.5502,-4.1085,44.3118,133.5155,-45.4162,14.0741,-5.2184,-5.2137,-4.7868
"33",Mar 2002,13.97,0.19,1.4237,27.9876,0.057,0.2037,0.3773,108.0838,5.5245,13.6585,3.7488,7.9839,7.5493,-6.7774,20.3883,-36.3783,-47.6399,-83.6193,28.5714,-35.3896,20.7746,-4.7868,0.856999999999999
"34",Jun 2002,11.61,0.34,1.3719,24.362,0.046,0.1887,0.3162,115.6863,3.0303,6.7525,9.6849,10.7815,-4.2899,-4.5735,-16.9355,62.6429,75.1859,283.8095,-10.2102,15.8291,-16.194,0.856999999999999,0.369300000000003
