"","date","P.B.ratio","Free.cash.flow.per.share","Current.ratio","Net.margin","ROA","Asset.turnover","EPS","PE","Assets.Q","Current.Assets.Q","Liabilities.Q","Current.Liabilities.Q","Book.value.Q","Revenue.Q","Earnings.Q","Cash.from.operating.activities.Q","Cash.from.investing.activities.Q","Cash.from.financing.activities.Q","Cash.at.end.of.period.Q","Capital.expenditures.Q","EPS.Q","relativeReturn","Y"
"9",Mar 1996,6.23,0.31,1.4646,8.8506,0.027,0.3056,0.277,77.5451,-0.4182,-2.0974,-2.7509,-7.5985,3.0306,-5.5336,-9.0909,68.9086,-23.7255,225.7143,21.223,-13.2855,-9.0312,-5.6671,-0.3699
"10",Jun 1996,6.03,0.36,1.3811,6.4569,0.02,0.3094,0.2023,107.0687,-1.3062,-3.5348,-2.1994,2.301,-0.0597,-0.0815,-27.1053,27.8738,125.4499,33.6842,2.5717,45.7557,-26.9675,-0.3699,-0.2382
"11",Sep 1996,6.26,0.38,1.4132,10.9963,0.0348,0.3161,0.3589,62.6358,1.5651,4.1917,0.8996,1.8275,2.474,3.7646,76.7148,-15.2174,-81.0718,-1.4436,25.1205,-43.1818,77.4098,-0.2382,2.965
"12",Dec 1996,6.82,0.27,1.3964,10.326,0.0336,0.3251,0.3473,72.8765,-0.1562,-1.2345,-2.1236,-0.0502,2.4892,2.6845,-3.5751,-18.2952,271.0843,27.9627,-15.6455,11.75,-3.2321,2.965,13.1146
"13",Mar 1997,7.59,0.34,1.4256,10.0445,0.0321,0.3194,0.3252,89.6679,-2.3293,-2.266,-4.4026,-4.2692,0.333,-4.0582,-6.6737,17.6421,-23.7013,-31.8418,10.5984,6.264,-6.3634,13.1146,-6.3268
"14",Jun 1997,8.3,0.39,1.3832,6.8283,0.0222,0.3249,0.2262,142.0866,0.2876,-0.7636,2.5475,2.2823,-2.4773,2.018,-30.647,35.0397,73.617,74.0458,-2.9327,69.8947,-30.4428,-6.3268,6.6227
"15",Sep 1997,9.39,0.23,1.1105,11.6195,0.0367,0.3157,0.4044,87.5618,7.5806,1.1218,13.0662,25.9554,0.523,4.5485,77.9051,-37.4266,170.5882,-168.2456,-12.383,-32.7138,78.7798,6.6227,3.1486
"16",Dec 1997,9.52,0.05,1.1497,10.8495,0.0352,0.3244,0.3896,93.3265,0.2801,-0.4951,0.4223,-3.8892,0.0743,3.0572,-3.7718,-43.43,-38.4964,-102.4422,-36.6197,-2.7624,-3.6597,3.1486,2.3133
"17",Mar 1998,10.78,0.33,1.1851,10.8209,0.0313,0.2893,0.3583,115.2665,3.3014,-0.3225,4.0518,-3.3051,2.2116,-7.883,-8.1262,120.9653,-49.2636,3142.1053,12.1839,11.9318,-8.0339,2.3133,2.7981
"18",Jun 1998,10.96,0.26,1.1435,7.3946,0.0222,0.2996,0.2564,168.3697,0.8796,-2.2278,2.2938,1.3365,-1.211,4.459,-28.616,8.1911,38.6067,-15.0974,5.806,51.7766,-28.4399,2.7981,4.54
"19",Sep 1998,10.23,0.28,1.1762,12.2713,0.0355,0.2893,0.4398,90.4502,6.1454,16.4413,11.0251,13.2,-1.324,2.5116,70.1166,-24.858,-75.6021,-108.6042,63.9768,-50.9476,71.5289,4.54,-13.7275
"20",Dec 1998,10.62,0.04,1.1596,11.4959,0.0344,0.2997,0.4301,95.5824,0.858,-2.6794,-2.2553,-1.2893,6.22,4.4585,-2.1422,-33.3333,69.5279,-2004.4444,-17.5591,56.8182,-2.2055,-13.7275,5.1868
"21",Mar 1999,11.07,0.32,1.161,11.2664,0.0316,0.2808,0.3914,117.3991,-0.8386,-1.9272,-1.8597,-2.0414,0.7797,-7.0767,-8.9317,106.801,156.2025,-44.224,7.6886,16.5217,-8.9979,5.1868,-9.8637
"22",Jun 1999,11.21,0.39,1.0555,4.381,0.0129,0.2943,0.1574,298.4752,-2.3119,-3.3773,0.5364,6.2815,-6.7079,2.3724,-60.1923,16.7479,-47.1344,175.3138,1.7295,11.194,-59.7854,-9.8637,6.182
"23",Sep 1999,12.06,0.25,0.933,11.5637,0.0325,0.2808,0.4364,108.0889,9.9991,4.1204,14.545,17.7865,2.4382,4.963,177.0531,-29.734,500.7477,-229.1033,-7.4542,-23.4899,177.2554,6.182,-1.1747
"24",Dec 1999,12.88,-0.23,1.0372,10.6347,0.0313,0.2941,0.4279,121.3134,1.9165,2.0971,1.4278,-8.1578,2.8255,6.7446,-1.8309,-88.2702,-70.224,-57.9164,-3.7211,12.2807,-1.9478,-1.1747,-12.5851
"25",Mar 2000,10.28,0.3,1.0592,7.697,0.0214,0.2775,0.2879,148.5933,-2.0888,-7.073,-1.6266,-9.0027,-2.9368,-7.6029,-33.1261,790.5063,-63.3229,-258.042,-3.9139,-17.4479,-32.7179,-12.5851,-22.0039
"26",Jun 2000,7.78,0.32,1.0004,5.3411,0.0151,0.2825,0.1975,159.5443,-2.993,-10.2585,-4.4239,-4.9844,-0.3326,-1.2471,-31.4741,25.3021,134.4729,30.9735,-27.9532,47.0032,-31.3998,-22.0039,-5.1486
"27",Sep 2000,7.55,0.17,1.1445,11.5859,0.0329,0.2839,0.4429,68.8643,2.6876,11.9178,2.2641,-2.1759,3.4427,3.1881,123.8372,-38.6841,-28.9186,-107.5676,41.4134,-32.7253,124.2532,-5.1486,18.2869
"28",Dec 2000,8.66,0.22,1.1643,11.7266,0.0324,0.2765,0.4593,79.4034,4.8757,14.2604,6.2759,12.3197,2.4076,2.1366,3.3766,9.5282,-61.1966,294.6429,70.2649,-0.4785,3.7029,18.2869,3.3279
"29",Mar 2001,7.97,0.33,1.1596,9.3891,0.0249,0.2654,0.3447,100.4062,-2.6748,-9.5993,-3.9523,-9.2323,-0.338,-6.5901,-25.2094,29.7297,59.4714,-523.9819,-21.3091,7.3718,-24.951,3.3279,-16.5699
"30",Jun 2001,7.14,0.55,1.1059,-3.3396,-0.0093,0.2787,-0.1234,-251.7018,-4.0541,-6.4519,-2.1471,-1.9127,-7.416,0.7465,-135.8343,30.4036,84.8066,-9.6051,-13.9873,-15.6716,-135.7992,-16.5699,29.279
"31",Sep 2001,8.86,0.38,1.1413,11.3045,0.031,0.2742,0.4261,82.7505,3.5595,9.9091,3.5617,6.5001,3.5554,1.9203,-445,-33.6495,-45.8894,-77.0366,25.4553,-37.6991,-445.2998,29.279,-5.8955
"32",Dec 2001,9.12,0.59,0.8287,12.4868,0.0314,0.2515,0.5011,75.5538,16.1776,9.8847,22.0894,51.3447,5.162,6.5226,17.663,39.0519,1314.3646,-1021.0797,10.3699,-10.2273,17.6015,-5.8955,6.5384
"33",Mar 2002,9.5,0.65,0.8317,10.4949,0.0255,0.2426,0.3997,104.5284,-1.3632,-4.3115,-3.0891,-4.6629,2.3702,-4.8351,-20.0154,21.9697,-77.9492,-134.9149,-4.134,75.9494,-20.2355,6.5384,19.9164
"34",Jun 2002,10.05,0.71,0.9577,8.9488,0.0223,0.2494,0.3499,129.8657,-0.0784,-3.3217,-1.2728,-16.0344,2.3676,2.7172,-12.4158,2.5288,-80.1594,39.5683,11.9569,-18.1655,-12.4593,19.9164,10.0527
"35",Sep 2002,9.03,0.67,1.0376,13.5606,0.035,0.258,0.5634,74.3521,2.6339,11.4828,1.9985,2.8889,3.8888,6.1658,60.8791,-13.0247,-12.9464,-69.9885,37.2337,-38.2418,61.0174,10.0527,-5.8168
"36",Dec 2002,8.97,0.77,1.1171,13.5756,0.0352,0.2593,0.5778,75.4413,1.4146,4.6302,-0.0181,-2.8154,4.1927,1.9359,2.0492,15.2239,60,209.7328,8.569,19.2171,2.5559,-5.8168,1.4369
"37",Mar 2003,8.28,0.8,1.1732,11.9463,0.0298,0.2497,0.4916,86.2286,0.5678,1.9308,-1.6228,-2.9363,4.6441,-3.1713,-14.7925,4.1883,54.4872,-6.5927,7.971,4.7761,-14.9187,1.4369,-6.2007
"38",Jun 2003,8.37,0.56,1.2316,8.7454,0.0219,0.2499,0.3683,122.2645,2.3967,5.2195,1.3329,0.2271,4.2576,2.4775,-24.9804,-18.7319,7.4689,-5.5409,7.2374,46.7236,-25.0814,-6.2007,-3.312
"39",Sep 2003,7.99,0.48,0.9323,14.4403,0.0349,0.2415,0.679,66.2592,15.5356,2.9763,20.367,36.0414,7.3211,11.6758,84.3979,-18.103,923.166,-236.8017,-31.5122,-29.3204,84.3606,-3.312,-5.5973
"40",Dec 2003,7.91,0.74,0.9749,13.7509,0.0338,0.2455,0.7033,68.5198,6.6659,9.5196,6.5358,4.7288,6.9138,8.4133,3.2368,46.6376,-84.6604,-141.5518,22.0795,22.5275,3.5788,-5.5973,7.2703
"41",Mar 2004,7.79,0.96,1.0106,11.7277,0.0284,0.2419,0.5944,86.2214,0.0111,0.2272,0.8104,-3.3169,-1.5076,-1.4522,-15.9516,26.4544,-31.8573,142.3833,8.5373,16.8161,-15.4841,7.2703,4.5954
"42",Jun 2004,8.28,0.68,0.7728,10.6002,0.0241,0.2272,0.5405,99.889,5.9033,-0.5173,11.7888,30.1005,-5.5434,-0.5142,-10.0785,-18.6367,391.6968,-123.3147,1.9385,33.0134,-9.068,4.5954,3.8484
"43",Sep 2004,8.75,0.59,0.8545,14.5591,0.0338,0.2322,0.7888,68.75,3.7775,9.3544,2.7005,-1.1062,6.2565,6.033,45.6332,-20.8419,-84.8385,-267.6087,14.4999,-40.404,45.9389,3.8484,-7.4508
"44",Dec 2004,8.13,0.62,0.8784,14.1088,0.0323,0.2293,0.8083,66.7698,6.4676,12.1821,5.641,9.1362,8.3066,5.1513,1.8991,7.4557,34.3826,-39.0402,22.5806,20.5811,2.4721,-7.4508,2.8306
