"","date","P.B.ratio","Free.cash.flow.per.share","Current.ratio","Net.margin","ROA","Asset.turnover","EPS","PE","Assets.Q","Current.Assets.Q","Liabilities.Q","Current.Liabilities.Q","Book.value.Q","Revenue.Q","Earnings.Q","Cash.from.operating.activities.Q","Cash.from.investing.activities.Q","Cash.from.financing.activities.Q","Cash.at.end.of.period.Q","Capital.expenditures.Q","EPS.Q","relativeReturn","Y"
"5",Mar 1996,4.1,0.1,1.2083,5.1312,0.0186,0.362,0.0816,95.9559,3.9507,2.6298,-0.0538,0.0452,7.6851,5.6756,814.6154,-2.8777,-89.0619,-102.0492,10.6797,-49.0741,786.9565,1.7213,-11.6804
"6",Jun 1996,3.49,-0.11,1.2202,2.0191,0.0077,0.3837,0.0342,204.9708,1.4178,-2.7867,-2.6957,-3.7288,4.9782,7.5105,-57.6955,-166.4815,-194.7627,-1100,-4.3056,139.5455,-58.0882,-11.6804,-31.6988
"7",Sep 1996,2.4,0.2,1.1436,3.5259,0.0136,0.3861,0.062,81.7742,3.1731,-2.0066,3.2961,4.5515,3.0744,3.8199,81.3121,-404.0854,-1116.753,-150,-26.4839,-31.4991,81.2865,-31.6988,-5.8765
"8",Dec 1996,2.41,0.08,1.0367,3.5553,0.0136,0.3825,0.0641,82.0593,4.4066,-2.2618,6.258,7.8254,2.9181,3.4282,4.2763,-44.916,-120.299,-292,41.6257,50.6925,3.3871,-5.8765,14.253
"9",Mar 1997,2.73,-0.01,0.973,3.8188,0.0154,0.4037,0.0731,83.7209,0.9433,-7.6724,-1.4148,-1.6308,2.9008,6.5394,14.511,-88.9135,-236.4017,112.5,-12.8002,-39.7059,14.0406,14.253,-13.9319
"10",Jun 1997,2.73,0.04,0.802,3.9481,0.0162,0.4112,0.0771,81.4527,0.8963,-21.3955,-4.0465,-4.6313,4.8271,2.7849,6.2443,462.5,162.2086,108.8235,-32.4889,73.7805,5.472,-13.9319,3.9326
"11",Sep 1997,2.79,-0.01,0.867,3.9238,0.016,0.4086,0.0771,87.5486,1.6194,6.7998,-1.0759,-1.2141,3.5816,0.9691,0.3457,-71.2,-52.1058,-70.4225,-27.1997,-25.614,0,3.9326,-9.6084
"12",Dec 1997,2.43,0.3,0.8533,3.9077,0.0157,0.4006,0.0774,78.4238,5.2712,3.2729,4.0172,4.9322,6.1429,3.1971,2.7562,1499.0741,2.0518,-160.3175,68.8049,29.2453,0.3891,-9.6084,5.3661
"13",Mar 1998,2.7,0.03,0.8265,3.2078,0.0145,0.452,0.0856,82.7103,19.428,47.5148,43.5416,52.2957,2.9996,34.7634,10.6454,-88.0332,-32.0249,-47.3684,-10.9333,-78.1022,10.5943,5.3661,17.6206
"14",Jun 1998,3.13,0.05,0.7684,-13.3412,-0.0636,0.4765,-0.3616,-23.3684,-2.3726,0.6182,7.2846,8.2269,-11.5418,2.9162,-528.0303,150,0.7042,750,-0.7485,550,-522.4299,17.6206,-16.6014
