"","date","P.B.ratio","Free.cash.flow.per.share","Current.ratio","Net.margin","ROA","Asset.turnover","EPS","PE","Assets.Q","Current.Assets.Q","Liabilities.Q","Current.Liabilities.Q","Book.value.Q","Revenue.Q","Earnings.Q","Cash.from.operating.activities.Q","Cash.from.investing.activities.Q","Cash.from.financing.activities.Q","Cash.at.end.of.period.Q","Capital.expenditures.Q","EPS.Q","relativeReturn","Y"
"9",Mar 1996,3.15,0.21,1.3907,13.7931,0.0102,0.0742,0.1683,77.4213,0.4261,2.424,4.2292,-0.9911,1.2932,-4.1902,-12.2995,-37.1698,-98.4305,60,20.8889,-56.1224,-12.3438,6.2267,2.7061
"10",Jun 1996,3.24,0.55,1.3598,21.074,0.016,0.0759,0.2679,50.5412,0.9797,0.4908,0.7279,2.7757,1.7186,3.3642,57.9268,111.7117,4771.4286,180.1471,-1.1949,37.9845,59.18,2.7061,-0.9959
"11",Sep 1996,3.26,0.36,1.3304,19.9372,0.0155,0.0776,0.2641,52.8209,1.4274,1.1287,0.9468,3.3648,2.824,3.6615,-1.9305,-27.5177,-65.9824,-46.7192,17.1163,-6.1798,-1.4184,-0.9959,7.0068
"12",Dec 1996,3.67,0.24,1.3005,17.1664,0.0137,0.0797,0.2412,67.4544,2.0166,3.1445,-1.588,5.5111,1.0798,4.7096,-9.8425,6.8493,191.3793,65.0246,-10.4845,91.6168,-8.671,7.0068,9.028
"13",Mar 1997,3.98,0.37,1.307,18.05,0.0134,0.0744,0.2364,76.4805,-0.3344,1.5191,4.0883,1.0149,-1.556,-6.9715,-2.1834,-6.7766,-67.4556,-28.3582,12.2449,-49.6875,-1.99,9.028,-7.3096
"14",Jun 1997,4.42,0.42,1.3162,23.6392,0.0178,0.0755,0.3228,61.1834,2.0493,3.1157,1.992,2.3979,2.2175,3.6261,35.7143,14.5383,72.7273,1.25,11.6996,17.3913,36.5482,-7.3096,1.3093
"15",Sep 1997,4.5,0.39,1.3227,23.7906,0.0177,0.0745,0.3219,64.3368,-0.6459,-1.7791,-0.5906,-2.2632,-0.8078,-1.944,-1.3158,-7.7187,54.7368,51.4403,-9.2003,-8.9947,-0.2788,1.3093,-9.8675
"16",Dec 1997,4.03,0.2,1.2649,17.8102,0.0146,0.0819,0.2662,69.7596,-1.1938,-6.4157,-3.2322,-2.1416,-5.235,8.6439,-18.6667,-6.8773,101.0204,13.587,-41.1535,86.6279,-17.3035,-9.8675,-2.9263
"17",Mar 1998,4.53,0.44,1.2479,20.0154,0.015,0.0749,0.2832,71.0452,3.7143,3.7954,7.2779,5.2113,4.002,-5.1825,6.5574,11.3772,-25.7191,-60.2871,-6.8874,-51.7134,6.3862,-2.9263,12.6838
"18",Jun 1998,4.99,0.62,1.2514,26.7261,0.0206,0.0772,0.3947,58.3228,0.6805,0.1458,0.4808,-0.13,1.2984,3.6952,38.4615,33.3333,-5.2392,82.5301,2.1337,12.2581,39.3715,12.6838,5.1816
"19",Sep 1998,4.54,0.45,1.1994,25.6259,0.019,0.0743,0.3853,55.4373,4.7543,0.9258,5.6505,5.2981,2.0042,0.8166,-3.3333,-15.1882,127.8846,-183.4983,-7.6602,28.1609,-2.3816,5.1816,-9.1121
"20",Dec 1998,4.75,0.29,1.2094,20,0.0156,0.0781,0.3187,72.3564,0.4757,-3.5766,-2.4225,-4.3763,0.0228,5.6701,-17.5287,-8.7163,-50.8439,-149.4071,-17.0437,40.8072,-17.2852,-9.1121,25.4603
"21",Mar 1999,6.27,0.27,1.3627,21.9686,0.0172,0.0783,0.3411,89.27,-2.5197,7.5147,-1.1861,-4.5766,2.7638,-2.2997,7.3171,-34.7222,-60.0858,-32.8,19.4545,-58.9172,7.0286,25.4603,-0.0855999999999995
"22",Jun 1999,6.85,0.48,1.2976,77.6496,0.0489,0.063,1.1187,30.4907,22.9734,-0.686,9.6697,4.2948,62.6361,-1.0699,249.6753,66.7553,1067.7419,320.2381,34.7032,26.3566,227.9683,-0.0855999999999995,-0.9946
"23",Sep 1999,4.18,0.42,1.2672,6.0525,0.0039,0.0644,0.094,338.2979,4.7805,3.2736,8.62,5.7547,-2.9384,7.2098,-91.6435,-5.7416,-64.9632,-211.0482,25.9887,18.4049,-91.5974,-0.9946,-18.9908
"24",Dec 1999,3.95,0.46,1.1532,3.6199,0.0023,0.0635,0.0591,496.2775,5.5719,3.0147,4.6564,13.1925,0.2112,4.035,-37.7778,21.1506,69.7766,7.1429,-14.1704,43.5233,-37.1277,-18.9908,1.5935
"25",Mar 2000,3.77,0.4,1.1575,25.4214,0.0156,0.0613,0.4006,70.7189,-0.6772,-2.4278,2.6492,-2.7889,-1.1381,-4.137,573.2143,-26.5363,-69.582,-202.8571,-31.348,-46.2094,577.8342,1.5935,10.8351
"26",Jun 2000,4.03,0.47,1.1622,33.9107,0.0209,0.0617,0.5436,55.5004,0.4752,0.4243,0.1049,0.0223,1.3786,1.2138,35.0133,18.0608,-16.285,-69.4444,23.7443,18.7919,35.6965,10.8351,4.2881
"27",Sep 2000,4.21,0.43,1.1987,32.9787,0.0205,0.0623,0.5295,60.5288,-0.6539,-1.9207,-2.613,-4.9107,4.0656,0.1999,-2.554,8.6957,-1.8237,149.2424,0.615,54.8023,-2.5938,4.2881,10.4448
"28",Dec 2000,4.52,0.37,1.1411,27.5907,0.0168,0.0609,0.4525,79.1381,4.9965,4.3964,2.8146,9.6714,3.2197,2.6596,-14.1129,0.8889,226.935,-194.5289,-8.5575,22.9927,-14.542,10.4448,12.5051
"29",Mar 2001,4.58,0.45,1.1978,27.3462,0.0171,0.0626,0.4674,79.739,1.2735,2.8137,4.3243,-2.0548,0.9919,4.2098,3.2864,-7.0485,-59.5644,-151.7685,4.2781,-38.5757,3.2928,12.5051,-0.329300000000001
"30",Jun 2001,4.81,0.58,1.2088,35.9413,0.0226,0.0629,0.6243,63.2709,1.3081,1.2224,-0.4179,0.295,5.3114,1.6781,33.6364,18.4834,-2.5761,-5.5901,22.6923,0,33.5687,-0.329300000000001,-9.4331
"31",Sep 2001,3.42,0.5,1.2498,35.0932,0.0212,0.0605,0.6029,49.0131,2.2557,5.885,1.7008,2.4186,3.4728,-1.5892,-3.9116,-14.5333,-47.8365,-88.1579,42.6332,-15.942,-3.4278,-9.4331,-17.8378
"32",Dec 2001,3.13,0.69,1.3455,20.9982,0.0128,0.0609,0.365,77.2603,1.3491,-4.1365,-0.7041,-10.9563,-0.7472,2.0497,-38.9381,34.3214,0,2333.3333,14.1392,17.8161,-39.4593,-17.8378,17.3193
"33",Mar 2002,3.86,0.44,1.3669,28.8094,0.0173,0.06,0.4938,69.1778,0.1409,0.8523,1.723,-0.7287,3.3098,-1.339,35.3623,-33.4495,23.5023,16.895,-14.1849,-23.9024,35.2877,17.3193,13.4981
"34",Jun 2002,3.82,0.74,1.4169,36.5982,0.022,0.0601,0.6614,52.8576,5.0913,8.3986,4.6729,4.5728,5.9796,5.182,33.6188,42.7574,51.4925,-124.0234,42.2588,-23.7179,33.9409,13.4981,8.6547
"35",Sep 2002,3.27,0.77,1.4757,34.9714,0.0215,0.0614,0.646,49.1331,0.3876,-0.6822,-2.0969,-4.6375,5.5986,2.6393,-1.9231,5.0122,-56.6502,-308.1301,20.9779,9.2437,-2.3284,8.6547,-19.2953
"36",Dec 2002,2.82,0.45,1.4869,31.0787,0.0183,0.059,0.5665,50.7502,2.0988,-3.9087,7.0685,-4.6338,-13.6523,-2,-12.9085,-29.8021,35.2273,136.7188,-9.6045,39.2308,-12.3065,-19.2953,8.8507
"37",Mar 2003,3.39,0.18,1.4473,28.0604,0.0169,0.0602,0.5364,56.0962,2.1623,1.5148,1.4842,4.2895,3.8899,4.3149,-5.8161,-58.209,-54.6218,-46.6997,-7.3558,-51.9337,-5.3133,8.8507,-2.525
"38",Jun 2003,3.56,0.74,1.516,33.3509,0.0204,0.0613,0.674,49.0653,3.9974,6.5387,1.4625,1.7107,9.7465,5.9251,25.8964,218.6508,103.7037,-54.1796,25.3243,25.2874,25.6525,-2.525,11.3519
"39",Sep 2003,3.73,0.95,1.2194,30.2557,0.0188,0.062,0.679,55.8027,10.208,-4.4457,12.2397,18.8,6.2251,11.4512,1.1076,27.2727,467.2727,418.9189,-41.1594,15.5963,0.7418,11.3519,3.0461
"40",Dec 2003,4.08,0.57,1.201,22.9329,0.017,0.074,0.5705,76.8799,1.7204,1.8116,-4.514,3.3738,15.6933,21.4015,-7.9812,-21.9178,-85.1763,-40.4948,14.2153,65.0794,-15.9794,3.0461,4.4088
"41",Mar 2004,4,0.65,1.1922,23.0585,0.0161,0.0699,0.5633,80.5787,3.6943,8.1527,3.6569,8.9461,3.2288,-2.0671,-1.5306,-1.0025,-48.1081,28.884,6.6543,-40.8654,-1.2621,4.4088,-5.4656
"42",Jun 2004,3.68,0.93,1.2423,31.8372,0.0228,0.0717,0.818,52.8729,2.1265,5.9153,1.5405,1.6494,3.2685,4.6993,44.5596,39.3671,259.375,-23.2598,16.58,20.3252,45.2157,-5.4656,9.8316
"43",Sep 2004,3.77,0.75,1.2577,28.0606,0.0192,0.0684,0.7064,65.1614,2.5591,3.6292,1.5214,2.3594,4.4712,-2.1301,-13.7395,-13.7148,1.1594,-33.8496,15.9564,21.6216,-13.643,9.8316,-0.8232
"44",Dec 2004,3.83,0.5,1.1989,23.3981,0.0162,0.0694,0.635,76.9449,6.3884,5.7573,9.5597,10.9426,0.4602,7.9674,-9.9723,-9.6842,178.51,-79.2642,-3.2051,91.1111,-10.1076,-0.8232,6.3351
"45",Mar 2005,3.96,0.68,1.2347,23.8899,0.0161,0.0672,0.636,79.7013,1.2489,1.4431,-0.7377,-1.4984,5.1535,-1.9078,0.1538,-1.3986,-82.0988,1474.1935,-13.3333,-55.814,0.1575,6.3351,3.2238
"46",Jun 2005,3.81,0.98,1.2191,33.0609,0.0217,0.0656,0.9475,54.058,10.4996,9.8374,14.252,11.2444,4.2039,7.7798,49.1551,40.4255,1366.6667,-244.5697,1.1207,20.3947,48.978,3.2238,-3.4835
"47",Sep 2005,3.63,0.89,1.181,28.3592,0.0178,0.0628,0.806,63.1514,2.851,1.2489,2.734,4.5112,3.3445,-1.43,-15.448,-2.7778,-57.21,-95.8894,5.8942,36.0656,-14.934,-3.4835,4.8593
"48",Dec 2005,3.71,0.79,1.1213,20.3247,0.0136,0.0671,0.6165,87.7372,-0.3104,-1.7418,-7.1495,3.4936,14.5564,6.3903,-23.7515,-0.8658,-23.9011,-372.4138,6.8982,38.5542,-23.5112,4.8593,1.8534
"49",Mar 2006,3.41,0.77,1.1331,25.9197,0.0163,0.063,0.7597,75.1218,2.4083,5.3179,2.5465,4.2229,2.1541,-3.7987,22.6837,-14.8472,-60.6498,206.3291,7.5656,-41.7391,23.2279,1.8534,7.3592
