"","date","P.B.ratio","Free.cash.flow.per.share","Current.ratio","Net.margin","ROA","Asset.turnover","EPS","PE","Assets.Q","Current.Assets.Q","Liabilities.Q","Current.Liabilities.Q","Book.value.Q","Revenue.Q","Earnings.Q","Cash.from.operating.activities.Q","Cash.from.investing.activities.Q","Cash.from.financing.activities.Q","Cash.at.end.of.period.Q","Capital.expenditures.Q","EPS.Q","relativeReturn","Y"
"9",Mar 1996,4.45,0.81,0.7133,14.6683,0.0198,0.1347,0.5375,63.2558,-1.4414,-6.2592,-3.0355,-5.2838,2.7261,1.693,20.0561,9.8798,336.5148,29.8022,-84.0807,-7.5498,20.0581,-2.8355,-8.002
"10",Jun 1996,4.04,0.23,0.7409,15.1649,0.0208,0.137,0.5646,56.1282,-0.0542,0.1295,-1.3917,-3.59,3.2465,1.618,5.0584,-38.9573,-15.1731,-77.4674,12.1479,10.8449,5.0419,-8.002,-10.0196
"11",Sep 1996,3.68,0.72,0.7806,14.6552,0.0202,0.1379,0.552,53.9674,0.4757,-0.4787,-0.5267,-5.5499,2.8383,1.175,-2.2254,82.4839,10.9744,258.5553,55.102,31.4735,-2.2317,-10.0196,-3.4474
"12",Dec 1996,3.8,0.37,0.6923,13.068,0.0174,0.1334,0.495,63.899,3.9621,9.1331,4.9004,23.0617,1.8231,0.567,-10.3248,-5.7776,156.889,-140.8058,54.3522,34.9074,-10.3261,-3.4474,1.1596
"13",Mar 1997,3.85,0.65,0.6988,15.103,0.0204,0.1354,0.5889,55.4593,1.4483,2.7128,1.0015,1.75,2.4977,2.9368,18.9663,-3.6808,-48.4554,-253.3613,-5.0492,-31.646,18.9697,1.1596,-13.1783
"14",Jun 1997,3.88,0.06,0.7148,14.5,0.02,0.1377,0.5702,59.2073,-0.943,-2.5819,-2.2058,-4.7599,1.9794,0.785,-3.2389,-35.7541,-60.186,14.4292,-28.2459,14.5681,-3.1754,-13.1783,7.349
"15",Sep 1997,4.22,0.32,0.6448,-1.0863,-0.0015,0.1394,-0.0516,-725.5814,111.7465,114.0366,128.7684,137.2792,61.7441,114.3139,-116.0553,433.9913,1115.5207,-39.9242,203.9461,403.1683,-109.0495,7.349,11.6569
"16",Dec 1997,5.15,0.71,0.6587,9.5237,0.0282,0.2959,0.9791,42.5186,2.0291,6.4516,2.2105,4.2035,1.9101,116.5123,-1998.2522,-29.5628,-27.3746,-31.4513,2.2166,-50.7871,-1997.4806,11.6569,3.2837
"17",Mar 1998,5.79,0.35,0.8054,11.6768,0.0164,0.1409,0.5755,82.8671,0.6489,2.7242,0.7307,-15.9841,0.38,-52.077,-41.243,-22.9305,-35.1482,96.9477,25.1239,-5.2322,-41.2215,3.2837,-0.7442
"18",Jun 1998,5.82,0.55,0.7617,12.8775,0.0187,0.1449,0.6572,73.2806,0.739,-2.6303,0.182,2.9529,2.59,3.6165,14.2713,21.2048,7.8825,126.3961,-24.9567,9.8547,14.1964,-0.7442,6.7449
"19",Sep 1998,5.36,0.35,0.93,-0.1024,-1e-04,0.1438,-0.0052,-8738.4615,0.5165,-1.063,2.0481,-18.9642,-4.2983,-0.2258,-100.7934,-7.1988,-0.4161,-65.5221,104.8169,6.2658,-100.7912,6.7449,2.8015
"20",Dec 1998,6.71,0.45,0.8624,13.1124,0.0192,0.1465,0.6819,79.8797,0.2647,1.967,0.7833,9.9554,3.3426,2.1138,-13175.3086,9.7994,23.547,160.8257,-61.8073,4.0944,-13213.4615,2.8015,-4.6405
"21",Mar 1999,6.62,0.5,0.9001,14.3341,0.0208,0.1449,0.7357,75.4791,-0.3063,-1.9962,-1.5143,-6.0981,3.636,-1.3631,7.8274,-8.6197,-56.1627,63.9681,55.2088,-15.1332,7.8897,-4.6405,-7.3691
"22",Jun 1999,6.69,0.18,0.7949,14.0687,0.0202,0.1433,0.7516,77.3816,5.2715,-1.8313,3.5159,11.1538,10.6156,4.117,2.1891,-11.1022,151.4028,-112.0118,-36.9565,12.7411,2.1612,-7.3691,16.1971
"23",Sep 1999,6.68,0.34,0.7826,14.1378,0.0199,0.1407,0.7561,84.9359,1.9854,1.8196,1.0797,3.4298,3.8642,0.1085,0.5998,22.5792,-22.0805,-542.9448,13.7931,12.8046,0.5987,16.1971,-11.0366
"24",Dec 1999,6.44,0.39,0.7868,8.3527,0.0115,0.1375,0.4637,138.7535,6.0859,19.0963,7.4612,18.4537,2.3922,3.6609,-38.7564,20.0074,113.1458,-342.2438,315.5303,21.6912,-38.6721,-11.0366,-9.0784
"25",Mar 2000,5.4,0.62,0.6895,8.5657,0.0111,0.1292,0.4729,116.8957,5.4908,-6.946,5.8756,6.1929,4.7355,-0.8597,1.669,-4.1526,-6.4555,-97.4271,-67.1832,-18.6178,1.984,-9.0784,8.8084
"26",Jun 2000,5.37,-0.1,0.5283,29.231,0.0313,0.1069,1.8054,31.9874,137.7112,104.2191,105.7312,166.5338,105.4834,96.7073,571.2722,67.2978,-5.1565,-3357.7778,273.8889,154.1531,281.772,8.8084,-18.8784
"27",Sep 2000,3.82,-0.2,0.5151,20.9579,0.022,0.1051,1.2856,37.3133,0.328,-0.2086,0.2758,2.3375,0.8954,-1.3701,-29.2847,-28.7167,-85.5559,152.3874,-38.4844,-22.4393,-28.7914,-18.8784,7.6979
"28",Dec 2000,4.09,-0.73,0.6461,11.7789,0.0163,0.1386,0.9946,52.5638,4.5751,10.0876,7.1738,-12.2334,0.2784,37.8813,-22.5072,1.7761,1384.2697,-210.0811,-8.5749,35.4284,-22.6353,7.6979,4.9659
"29",Mar 2001,3.95,-0.51,0.6206,9.6643,0.0094,0.0969,0.5812,86.8376,1.8593,-0.651,2.8359,3.4437,0.347,-28.7485,-41.5396,-17.9799,-18.5718,-19.3715,-8.9828,-22.1624,-41.5644,4.9659,-3.2812
"30",Jun 2001,4.05,-0.05,0.6159,-6.0382,-0.006,0.0994,-0.3768,-138.0042,1.4154,5.8379,1.9085,6.6328,0.6081,3.953,-164.9491,46.873,-31.4998,-45.4324,279.6807,4.6226,-164.8314,-3.2812,17.4106
"31",Sep 2001,4.1,0.78,0.6024,11.0268,0.0111,0.1003,0.6907,76.5311,-0.3937,-6.1393,-0.6668,-4.0303,-0.2091,0.5618,-283.6435,19.3591,-3.1441,-234.3192,-47.8211,-29.2636,-283.3068,17.4106,-15.9367
"32",Dec 2001,4.01,0.66,0.6099,-11.9746,-0.0119,0.0996,-0.7497,-68.6275,0.7622,6.2065,2.9609,4.9059,-6.5938,0.0412,-208.64,22.7841,51.0743,-75.322,-28.2784,47.6765,-208.5421,-15.9367,-12.3481
"33",Mar 2002,3.93,0.77,0.6885,-3.0595,-0.0029,0.0956,-0.184,-255.7609,0.3103,4.2481,1.4512,-7.6539,-4.7082,-3.7388,-75.405,-32.934,-68.7742,307.7441,3.6772,-51.4916,-75.4568,-12.3481,-1.1897
"34",Jun 2002,3.62,0.89,0.6486,-12.5631,-0.0126,0.1,-0.7752,-53.2121,-1.7697,-4.2653,-0.8192,1.6235,-7.6273,2.8092,322.1557,24.2519,-26.0891,-12.3039,191.8227,32.0977,321.3043,-1.1897,-1.8681
"35",Sep 2002,3.15,1.26,0.7574,25.609,0.026,0.1017,1.6102,20.5627,0.4789,1.4044,-2.9214,-13.1614,11.1829,2.174,-308.2742,8.4831,-269.8593,176.9774,90.7833,-17.1556,-307.7141,-1.8681,-3.1097
"36",Dec 2002,3.04,0.78,0.7735,13.3031,0.0137,0.1028,0.834,42.3861,-0.9645,-10.8455,-2.3833,-12.7066,2.4211,0.0756,-48.0136,-0.2319,-330.7177,-25.4802,-74.5532,49.1917,-48.2052,-3.1097,12.2237
"37",Mar 2003,3.21,1.22,0.784,76.0163,0.0227,0.0299,1.421,26.8754,2.7378,6.5484,1.5951,5.1207,9.6793,-70.1348,70.655,-3.4872,-64.2112,-76.7108,187.5522,-36.3519,70.3837,12.2237,-15.3351
"38",Jun 2003,2.85,0.85,0.6318,6.7037,0.002,0.0301,0.1226,302.447,-2.573,-16.8678,-2.7837,3.1654,-4.3273,-1.9257,-91.3511,-11.2698,42.7889,435.3575,-80.1693,14.5926,-91.3723,-15.3351,-5.7313
"39",Sep 2003,2.91,0.89,0.6404,31.2021,0.0109,0.0348,0.6485,55.744,-1.563,-10.6092,-3.1496,-11.8096,2.6618,13.8437,429.8817,3.0056,-38.6622,-35.0165,-9.0244,0.7428,428.956,-5.7313,-20.9534
"40",Dec 2003,2.61,0.89,0.6885,-50.5119,-0.0178,0.0353,-1.0688,-31.0348,0.583,10.4316,2.1265,2.7138,-4.753,2.0906,-265.2708,16.7357,190.5125,-74.0991,-6.3003,31.3904,-264.8111,-20.9534,13.4016
"41",Mar 2004,3.09,0.5,0.689,21.7604,0.0073,0.0337,0.4328,86.2061,-1.5346,-6.0078,-2.2302,-6.0745,0.0867,-5.9727,-140.5068,-34.8815,-60.792,122.6087,-14.1631,-29.3693,-140.494,13.4016,-3.6456
"42",Jun 2004,3,0.96,0.7442,31.8561,0.0111,0.0347,0.6491,55.8157,-0.6015,1.169,-2.1032,-6.3432,1.8033,2.3775,49.8749,44.948,27.8124,55.0293,1.3333,20.4692,49.9769,-3.6456,7.1025
"43",Sep 2004,3.05,0.85,0.7672,29.9633,0.011,0.0368,0.6486,57.9248,0.2826,1.9891,-0.37,-1.0653,3.1526,6.2578,-0.0556,-4.2713,14.8315,-21.2913,1.3158,2.0729,-0.077,7.1025,0.2152
"44",Dec 2004,3.17,0.77,0.8422,50.4566,0.0183,0.0363,1.0971,36.7059,1.8791,9.7965,0.2036,0.0216,6.7834,0.4838,69.2094,12.9038,-17.8735,-14.6058,271.7532,28.6769,69.1489,0.2152,-7.1694
"45",Mar 2005,2.68,0.12,0.7345,28.6951,0.0107,0.0371,0.6349,57.2374,-0.6484,-12.6701,-1.1583,0.1297,1.1182,1.6603,-42.1849,-37.7806,71.247,-42.7366,-69.7817,-14.0603,-42.1292,-7.1694,-5.0865
"46",Jun 2005,2.45,0.69,0.6074,33.7648,0.0125,0.0369,0.7641,44.1042,2.7262,-2.0105,3.2521,18.4939,1.5113,2.2048,20.2618,51.8293,53.2931,-210.2291,103.0347,12.9939,20.3497,-5.0865,-7.6065
"47",Sep 2005,2.3,0.53,0.6461,28.5955,0.0111,0.0388,0.676,47.4852,-0.6353,-8.3808,-2.2423,-13.8583,1.7352,4.4423,-11.5476,-10.2577,-59.1074,-356.0505,-56.1566,-4.0384,-11.5299,-7.6065,-8.4796
"48",Dec 2005,2.1,1.01,0.6563,25.3053,0.0099,0.039,0.5665,52.6567,-0.1016,7.7004,-1.3666,6.0239,1.1651,0.2448,-11.2895,25.62,80.0592,-50.4204,25.974,-3.2076,-16.1982,-8.4796,1.6743
"49",Mar 2006,2.32,0.68,0.6026,18.6536,0.0089,0.0479,0.5594,56.1673,8.7337,13.26,8.8194,23.3372,12.8301,33.5317,-1.5682,-10.1826,-64.0847,123.9766,60.9536,7.7943,-1.2533,1.6743,-0.9729
"50",Jun 2006,2.03,0.43,0.6196,18.3527,0.0088,0.0477,0.5558,56.1893,0.5629,14.209,0.591,11.0863,0.0179,0.3315,-1.2868,-9.3373,113.8444,-52.7154,-5.044,4.4024,-0.6435,-0.9729,2.2695
"51",Sep 2006,2.16,0.93,0.6121,21.3984,0.0104,0.0484,0.6583,50.7671,0.9987,1.5933,0.5013,2.8364,3.3498,2.324,19.3048,22.3843,2.6217,22.4738,55.6492,-5.6066,18.4419,2.2695,0.4379
"52",Dec 2006,2.26,0.37,0.6982,12.1626,0.0055,0.0449,0.3547,100.9586,1.683,4.2702,0.0492,-8.5889,4.8748,-5.5333,-46.3059,-12.7942,64.0772,-182.4166,74.377,19.3661,-46.1188,0.4379,4.2519
"53",Mar 2007,2.22,0.12,0.6412,16.7751,0.0081,0.0484,0.5149,71.8975,-2.394,-20.6052,-5.0629,-13.5502,0.5089,5.0324,44.8643,-22.8523,-49.3645,-277.6805,-59.5837,-12.9626,45.1649,4.2519,0.029300000000001
"54",Jun 2007,2.39,0.73,0.6964,18.232,0.0091,0.05,0.5798,69.317,0.2583,-4.8396,-1.4464,-12.3773,2.1504,3.5794,12.5753,43.3474,15.7829,5.6034,-49.5772,4.54,12.6044,0.029300000000001,0.4236
"55",Sep 2007,2.44,0.75,0.7052,13.2286,0.0068,0.0518,0.4397,95.1103,0.4649,0.0529,-0.0306,-1.2024,-0.285,4.0841,-24.4801,-0.278,-2.2493,-18.6297,8.9939,-1.7233,-24.1635,0.4236,8.1025
