"","date","P.B.ratio","Free.cash.flow.per.share","Current.ratio","Net.margin","ROA","Asset.turnover","EPS","PE","Assets.Q","Current.Assets.Q","Liabilities.Q","Current.Liabilities.Q","Book.value.Q","Revenue.Q","Earnings.Q","Cash.from.operating.activities.Q","Cash.from.investing.activities.Q","Cash.from.financing.activities.Q","Cash.at.end.of.period.Q","Capital.expenditures.Q","EPS.Q","relativeReturn","Y"
"5",Jan 1996,3.59,0.24,1.5131,3.2853,0.0251,0.7638,0.2054,53.6027,-6.1897,-14.2582,-12.1186,-22.7386,4.7193,25.1386,53.9216,-695.1456,-32.5077,-186.7704,538.4615,-34.5811,53.973,-21.0111,-0.2237
"6",Apr 1996,3.52,0.2,1.5235,2.5075,0.0149,0.5954,0.1245,91.0843,1.8859,2.585,1.0884,1.8858,3.1174,-20.5803,-39.3843,-10.8211,2.4465,-8.4305,-61.4458,-0.1362,-39.3866,-0.2237,9.0987
"7",Jul 1996,3.7,0.03,1.5391,2.7592,0.0182,0.6578,0.1539,79.8571,1.6968,1.0068,0.3213,-0.0171,3.7789,12.3617,23.6427,-50.9146,2.2388,-87.4633,-25,-9.6862,23.6145,9.0987,-1.973
"8",Oct 1996,3.83,0.03,1.483,2.6673,0.0162,0.6076,0.1491,88.2629,8.5069,17.0732,11.767,21.5033,3.7363,0.2228,-3.1161,-35.6522,-81.4599,164.8438,216.6667,-45.9215,-3.1189,-1.973,-19.6851
"9",Jan 1997,3.44,0.46,1.6421,3.4067,0.0276,0.8116,0.2417,50.8068,-6.1672,-14.4169,-16.9984,-22.7128,4.6517,25.3432,60.0877,472.7799,361.4173,364.3068,1061.8421,148.6034,62.106,-19.6851,5.0235
"10",Apr 1997,3.51,0.17,1.4863,2.566,0.0164,0.6388,0.144,92.0139,0.4368,-0.8892,1.3948,9.5008,-0.9392,-20.9501,-40.4566,-56.7577,16.2116,-51.7789,-17.7803,-42.4719,-40.422,5.0235,8.7983
"11",Jul 1997,4.46,0.12,1.4786,2.8007,0.0195,0.6979,0.1764,94.7279,2.2526,3.9309,2.3741,4.4757,1.6547,11.7163,21.9325,-4.3648,-20.9985,-36.1001,28.0992,30.0781,22.5,8.7983,15.5962
"12",Oct 1997,4.63,0,1.2828,2.7522,0.0172,0.6233,0.1763,100.5672,13.52,16.726,20.0306,34.5433,1.6915,1.3774,-0.3774,-39.8533,155.2045,-189.2784,-21.7204,7.5075,-0.0567,15.5962,3.4609
"13",Jan 1998,4.97,0.7,1.3383,3.5042,0.0284,0.8092,0.2873,67.6993,-1.7067,-10.5482,-6.6085,-14.2603,5.4002,27.6262,62.5,425.0678,33.2119,-406.4665,98.7637,3.6313,62.9609,3.4609,7.1162
"14",Apr 1998,5.73,0.02,1.3274,2.7456,0.018,0.655,0.1852,127.8618,1.4543,1.7466,1.764,2.5795,1.7078,-17.8887,-35.6643,-77.8581,-60.3062,-39.1108,-46.7173,2.4259,-35.5378,7.1162,27.5359
"15",Jul 1998,7.06,0.11,1.3475,3.0519,0.0221,0.7228,0.2295,129.5425,1.8026,1.2544,0.5752,-0.2494,3.8472,12.3454,24.8792,56.993,41.7355,-74.6287,14.6563,13.9474,23.9201,27.5359,6.0362
"16",Oct 1998,7.04,-0.12,1.2152,2.9743,0.0197,0.6621,0.2269,134.6408,9.3122,17.9616,16.3931,30.7989,0.875,0.1299,-2.4178,-65.0334,-14.966,-358.0488,14.1403,18.4758,-1.1329,6.0362,16.1827
"17",Jan 1999,8.63,0.86,1.2607,3.7797,0.0312,0.825,0.3504,109.0753,-2.4259,-10.1454,-8.8477,-13.3881,7.0914,21.5865,54.5094,941.189,104.3429,-524.5747,86.224,5.4581,54.4293,16.1827,6.2513
"18",Apr 1999,9.8,0.1,1.2593,3.1603,0.0213,0.6751,0.2494,186.247,4.0543,5.7448,4.257,5.8645,4.2867,-14.8471,-28.8005,-68.4747,-39.4855,-83.2591,4.6833,2.5878,-28.8242,6.2513,-1.5362
"19",Jul 1999,9.12,-0.02,0.9256,3.21,0.0188,0.5872,0.2808,160.8262,27.3764,2.1794,47.1174,39.0082,4.2286,10.7821,12.5225,-24.1915,269.5009,-729.5213,-23.335,11.8018,12.5902,-1.5362,6.9826
"20",Oct 1999,9.42,-0.14,0.9297,3.1755,0.0179,0.5653,0.2917,166.7124,9.2115,18.0528,11.5567,17.5335,5.8001,5.1324,4.0032,-11.0068,144.2471,265.3992,-4.8408,33.9243,3.8818,6.9826,25.715
"21",Jan 2000,11.39,0.51,0.9439,3.3141,0.0244,0.7373,0.3859,160.8966,-2.7913,-9.642,-6.7064,-10.9996,6.4047,26.7974,32.3326,325.024,-79.5084,-123.2512,29.338,30.5656,32.2935,25.715,-11.0926
