"","date","P.B.ratio","Free.cash.flow.per.share","Current.ratio","Net.margin","ROA","Asset.turnover","EPS","PE","Assets.Q","Current.Assets.Q","Liabilities.Q","Current.Liabilities.Q","Book.value.Q","Revenue.Q","Earnings.Q","Cash.from.operating.activities.Q","Cash.from.investing.activities.Q","Cash.from.financing.activities.Q","Cash.at.end.of.period.Q","Capital.expenditures.Q","EPS.Q","relativeReturn","Y"
"9",Mar 1996,2.51,0.54,0.9877,6.0407,0.0204,0.3371,0.3794,53.9009,1.4053,9.5046,1.3704,2.4819,1.4492,-0.9522,12.2024,14.1058,-52.3744,-51.6221,133.6207,-38.6452,12.2153,-5.2198,1.8728
"10",Jun 1996,2.55,0.23,0.9858,4.8741,0.017,0.3486,0.3161,66.6878,-0.1977,-2.9688,-1.0454,-2.7811,0.8678,3.2238,-16.7109,-26.8335,95.6438,24.8521,-8.5439,30.644,-16.6842,1.8728,-3.1227
"11",Sep 1996,2.55,0.26,0.9431,4.6817,0.0167,0.3565,0.3141,67.7173,1.1602,0.9619,1.2917,5.5231,0.9981,3.446,-0.6369,5.2632,-19.2974,43.5229,-9.6834,-0.2167,-0.6327,-3.1227,-4.4994
"12",Dec 1996,2.66,0.17,1.0208,6.6512,0.0261,0.3927,0.5021,44.533,2.2029,7.1698,0.596,-0.9798,4.1899,12.5777,59.9359,-5.6688,12.2011,-37.1491,1.4089,14.4408,59.8535,-4.4994,14.0481
"13",Mar 1997,2.96,0.61,1.138,6.4751,0.0227,0.3512,0.438,59.2922,0.1256,9.332,-0.0154,-1.9277,0.294,-10.4553,-12.8257,52.397,-40.2186,-0.2627,78.3463,-29.7438,-12.7664,14.0481,-5.8416
"14",Jun 1997,3.27,0.32,1.1101,5.9823,0.0207,0.346,0.3971,72.3999,-0.7601,-4.4745,-1.6777,-2.0754,0.332,-2.212,-9.6552,-24.3908,79.8903,73.9245,-10.3173,24.9156,-9.3379,-5.8416,5.9094
"15",Sep 1997,3.56,0.43,1.0709,5.5574,0.0187,0.3372,0.369,85.2846,2.3209,4.2897,5.2089,8.1038,-1.0476,-0.2984,-7.3791,19.7773,8.689,-7.37,1.2924,6.4324,-7.0763,5.9094,-2.9026
"16",Dec 1997,3.46,0.12,1.0783,6.5693,0.026,0.3962,0.5103,59.5924,-1.0904,-2.278,-2.535,-2.9432,0.7012,16.2051,37.3626,-34.907,-25.6662,-4.2507,-15.3524,6.2976,38.2927,-2.9026,-7.1626
"17",Mar 1998,3.55,0.28,1.0789,6.2525,0.0199,0.3183,0.3862,81.9782,-1.1565,-5.4313,-2.2823,-5.4849,0.1947,-20.5697,-24.4,15.5205,-25.9748,19.1235,-5.0902,-18.3469,-24.319,-7.1626,9.8938
"18",Jun 1998,3.95,0.19,1.0427,5.4682,0.0174,0.3178,0.3322,106.3817,-1.8293,-8.787,-2.6344,-5.6202,-0.887,-1.9915,-14.2857,-3.6109,65.0807,2.7234,-29.9922,19.0755,-13.9824,9.8938,8.4595
"19",Sep 1998,3.82,0.29,0.9633,4.8647,0.0147,0.3022,0.2879,117.9229,2.1574,-1.1105,3.2271,7.0329,0.9272,-2.859,-13.5802,21.7347,30.7771,-21.1163,-21.8669,8.3047,-13.3353,8.4595,-18.4553
"20",Dec 1998,3.72,-0.21,0.9063,5.0105,0.0158,0.3146,0.3007,111.3402,-2.7272,-2.6774,-5.0284,3.4479,-0.0206,1.2509,4.2857,-60.8539,-8.2645,-114.2099,-31.4136,9.392,4.446,-18.4553,-1.5387
"21",Mar 1999,3.9,0.19,0.8854,3.7941,0.0112,0.2963,0.2101,167.3965,-2.0501,-5.0247,-2.3547,-2.7818,-1.7097,-7.7388,-30.137,94.9008,-46.5036,-746.888,-3.8862,-23.849,-30.1297,-1.5387,-0.731999999999999
"22",Jun 1999,4.42,0.01,0.8335,4.0956,0.0132,0.3225,0.2482,157.8163,0.5555,-1.6757,1.4184,4.4404,-0.4023,9.4406,18.1373,-16.8605,70.3288,-84.9904,-4.1155,22.3312,18.1342,-0.731999999999999,4.7819
"23",Sep 1999,4.4,0.23,0.8364,4.5356,0.0159,0.3504,0.3089,125.5422,3.4625,9.8545,4.4499,9.4825,2.3465,12.4057,24.4813,23.1206,-13.5593,401.2821,-13.3283,-24.6215,24.4561,4.7819,-10.2436
