"","date","P.B.ratio","Free.cash.flow.per.share","Current.ratio","Net.margin","ROA","Asset.turnover","EPS","PE","Assets.Q","Current.Assets.Q","Liabilities.Q","Current.Liabilities.Q","Book.value.Q","Revenue.Q","Earnings.Q","Cash.from.operating.activities.Q","Cash.from.investing.activities.Q","Cash.from.financing.activities.Q","Cash.at.end.of.period.Q","Capital.expenditures.Q","EPS.Q","relativeReturn","Y"
"9",Jan 1996,4.22,-0.21,1.8863,4.9415,0.0252,0.5102,0.0862,109.7448,3.0419,-2.0097,1.5433,-22.2686,3.6878,-6.1509,5.641,-163.0151,-12.436,3181.25,7.6768,Inf,5.379,-8.924,5.8699
"10",Apr 1996,4.45,0.16,1.4284,4.4706,0.0249,0.5572,0.0905,114.0331,6.4645,10.0449,10.7132,45.323,4.4509,16.2664,5.178,-598.4051,-19.8074,-194.5,-9.5685,-17.0857,4.9884,5.8699,11.0895
"11",Jul 1996,4.71,-0.01,1.4757,5.1044,0.0338,0.6618,0.1253,90.9018,2.1483,-0.8298,-3.6765,-4.0029,4.9676,21.3356,38.5641,-62.128,-9.1767,-89.9723,-31.1203,-9.0245,38.453,11.0895,-1.9404
"12",Oct 1996,4.8,-0.03,1.8253,4.4977,0.0236,0.5246,0.1024,119.1406,17.3014,32.8532,46.5026,7.4035,4.4509,-7.0113,-18.0607,11.4068,146.1756,-2463.8191,2058.7349,34.2972,-18.2761,-1.9404,-18.4966
"13",Feb 1997,4.42,-0.16,2.0136,5.0655,0.0269,0.5308,0.1149,101.4795,-0.4221,-4.2488,-8.0647,-13.2067,4.2577,0.7457,13.4598,-109.6322,3.7975,-100.4358,-79.6289,-5.622,12.207,-18.4966,-3.5027
"14",May 1997,4.42,0.21,1.7296,4.5752,0.0245,0.5363,0.1183,101.6061,12.9206,27.3548,28.3416,48.271,4.6178,14.093,3.0255,-2936.2205,-56.541,307.3171,320.6849,-18.8847,2.9591,-3.5027,18.4045
"15",Aug 1997,5.16,-0.04,1.8504,5.4636,0.0336,0.6143,0.1634,90.0245,1.076,-2.7243,-5.5557,-9.0726,5.5006,15.7831,38.2921,-70.6691,41.2415,19.7605,-22.9404,18.9453,38.1234,18.4045,14.9061
"16",Nov 1997,5.76,-0.07,1.7509,3.7941,0.021,0.5544,0.1075,160.8372,5.1762,5.1834,7.5958,11.1617,3.6711,-5.0869,-34.0877,2.0823,-23.3293,-219.5,-3.1904,24.335,-34.2105,14.9061,1.2315
"17",Feb 1998,6.16,-0.26,1.816,5.3636,0.0274,0.5104,0.1397,136.7215,0.1329,-7.7292,-6.3928,-11.0371,4.1648,-7.8092,30.3095,-154.8911,-41.5391,-180.3347,-62.4618,20.7079,29.9535,1.2315,12.7659
"18",May 1998,6.91,0.29,1.5388,4.7312,0.027,0.5709,0.1529,146.0432,11.1141,17.0628,24.533,38.1515,5.2973,24.2781,9.6291,-995.2703,349.2948,-178.125,236.0465,-9.8468,9.4488,12.7659,38.981
